Rank,Bib,Athlete,Country,Time,Deficit,Dummy_Col_1
45,52,Akira Lenting,Japan,1:16:24.1,+3:14.8,mVkBfC
46,57,Eeri Vahtra,Estonia,1:16:40.7,+3:31.4,arxaPEn
47,36,Andy Kühne,Germany,1:17:02.2,+3:52.9,OZWPmWVG
48,63,Yerdos Akhmadiyev,Kazakhstan,1:17:02.6,+3:53.3,sQXTv
49,56,Veselin Tsinzov,Bulgaria,1:17:04.8,+3:55.5,FxXUa
50,64,Gennadiy Matviyenko,Kazakhstan,1:17:18.2,+4:08.9,qNpvg
50,58,Vitaliy Shtun,Ukraine,1:17:18.2,+4:08.9,TQuOIJ
52,34,Graham Nishikawa,Canada,1:17:18.9,+4:09.6,jQuuc
53,48,Tad Elliott,United States,1:17:36.6,+4:27.3,HjOPcH
54,39,Sami Jauhojärvi,Finland,1:17:54.7,+4:45.4,YECuiJDe
