Rank,Bib,Athlete,Country,Time,Deficit
55,55,Myroslav Bilosyuk,Ukraine,1:18:16.1,+5:06.8
56,66,Andrew Young,Great Britain,1:18:19.5,+5:10.2
57,65,Philipp Hälg,Liechtenstein,1:18:19.6,+5:10.3
58,40,Karel Tammjärv,Estonia,1:18:26.7,+5:17.4
59,62,Sergey Mikayelyan,Armenia,1:19:04.3,+5:55.0
60,60,Nils Koons,New Zealand,1:19:17.5,+6:08.2
61,54,Alexander Lasutkin,Belarus,1:19:18.4,+6:09.1
62,61,Javier Gutiérrez,Spain,1:19:48.7,+6:39.4
63,68,Yury Astapenka,Belarus,1:20:17.3,+7:08.0
64,67,Oleksiy Shvidkiy,Ukraine,1:20:20.2,+7:10.9
