Rank,Bib,Athlete,Country,Time,Deficit,Filler_1
65,73,Xu Wenlong,China,1:20:20.9,+7:11.6,VdQPtUm
66,59,Ondřej Horyna,Czech Republic,1:20:23.9,+7:14.6,kVmrzGzv
67,69,Imanol Rojo,Spain,1:20:25.5,+7:16.2,YGCCgQE
68,75,Callum Watson,Australia,1:20:31.6,+7:22.3,fqyQo
69,78,Andrew Pohl,New Zealand,1:20:48.2,+7:38.9,wsKhKK
70,84,Callum Smith,Great Britain,1:22:01.3,+8:52.0,vnRmK
71,74,Vytautas Strolia,Lithuania,1:22:22.2,+9:12.9,GqwQgjA
72,85,Artur Yeghoyan,Armenia,1:22:22.9,+9:13.6,pVjEoHk
73,71,Edi Dadić,Croatia,1:23:20.7,+10:11.4,LvypC
,70,Petrică Hogiu,Romania,LAP,,bTfJpfi
