Rank,Bib,Athlete,Country,Time,Deficit
23,12,Lukáš Bauer,Czech Republic,1:13:36.9,+27.6
24,21,Hannes Dotzler,Germany,1:13:42.5,+33.2
25,3,Ilia Chernousov,Russia,1:13:42.5,+33.2
26,46,Michail Semenov,Belarus,1:13:43.6,+34.3
27,43,Lari Lehtonen,Finland,1:13:54.9,+45.6
28,31,Martin Jakš,Czech Republic,1:13:55.6,+46.3
29,32,Dietmar Noeckler,Italy,1:13:57.2,+47.9
30,42,Aivar Rehemaa,Estonia,1:13:59.7,+50.4
31,44,Jiří Magál,Czech Republic,1:14:00.8,+51.5
32,16,Ivan Babikov,Canada,1:14:03.0,+53.7
33,24,Eldar Rønning,Norway,1:14:20.3,+1:11.0
