Rank,Bib,Athlete,Country,Time,Deficit
12,41,Tord Asle Gjerdalen,Norway,1:13:22.7,+13.4
13,17,Alex Harvey,Canada,1:13:25.4,+16.1
14,18,Curdin Perl,Switzerland,1:13:25.9,+16.6
15,23,Johannes Dürr,Austria,1:13:26.0,+16.7
16,13,Giorgio di Centa,Italy,1:13:27.1,+17.8
17,19,Matti Heikkinen,Finland,1:13:30.0,+20.7
18,26,Daniel Richardsson,Sweden,1:13:31.1,+21.8
19,29,Anders Södergren,Sweden,1:13:31.5,+22.2
20,11,Roland Clara,Italy,1:13:32.2,+22.9
21,10,Maurice Manificat,France,1:13:35.2,+25.9
22,37,Keishin Yoshida,Japan,1:13:36.1,+26.8
