Name of place,Numberofcounties,Principalcounty,ZIP codeLower,ZIP codeUpper,Noise_Field_1,Filler_2,Noise_Field_3
Denver Merchandise Mart,1,Adams County,80216,,RORszw,TFcJDSr,BMxtY
Deora,1,Baca County,81054,,qrbjX,drTCpx,oxAefJg
Derby,1,Adams County,80022,,ARYAoB,GjQMFX,AITMPqT
Derby,1,Adams County,80022,,KMpATmVg,tgfNP,sMkEYA
Derby Junction,1,Eagle County,,,GTOKZb,bITUXjeq,aBxSg
Derrick,1,Rio Grande County,,,hNRbNRf,LyoHcux,nKArTcF
Devine,1,Pueblo County,81001,,kcTKwbrz,rhPPg,JarLH
Dick,1,Weld County,,,eyijqlF,MRVxrqZ,ccFbq
Dillon,1,Summit County,80435,,ipZBalcA,BOqWileS,GEixpPf
Dinosaur,1,Moffat County,81610,,iBmgOvb,vLDjfSg,UPHbrY
Dinosaur National Monument,1,Moffat County,81610,,esgNTO,EfGjhc,bLTDSHx
