Name of place,Numberofcounties,Principalcounty,ZIP codeLower,ZIP codeUpper,Unused_1,Irrelevant_2
Dos,1,Garfield County,,,,to1xoyyM
Dotsero,1,Eagle County,81637,,,qZoJed09
Dotsero,1,Eagle County,,,,wGGWZOd
Dove Creek,1,Dolores County,81324,,,zuatzoiF
Dover,1,Weld County,,,,G82w3w
Dowds Junction,1,Eagle County,,,,Pq8IB4ac
Downieville,1,Clear Creek County,80436,,,Yv8L53U
Downieville-Lawson-Dumont,1,Clear Creek County,,,,CVrUS
Downtown,1,Arapahoe County,80110,,,PyCZt7
Doyleville,1,Gunnison County,81230,,,36u4PbJ
