Name of place,Numberofcounties,Principalcounty,ZIP codeLower,ZIP codeUpper,Random_Column_1,Random_Column_2
Dacono,1,Weld County,80514,,CvR3DLja,rmLtF
Dailey,1,Logan County,80728,,4fnyng,IOkUGZ
Dalerose,1,Las Animas County,81049,,jQesBs,Yh4Djf1
Dallas,1,Ouray County,,,PMJFLY,7ObiwYR
Darlow,1,Adams County,,,MITlU,ODiQlw
Dearfield,1,Weld County,,,pqVfsU,T1zEU
De Beque,1,Mesa County,81630,,RFn29,tzJXCgz
Deckers,1,Douglas County,80135,,Fv0HB,OoCT9AJP
Deepcreek,1,Routt County,80428,,ggzFSu,ZP2njSoc
Deer Creek Valley Ranchos,1,Park County,80470,,8Dc6Kb,3qb9ntH
Deermont,1,Jefferson County,,,K4PEBY,XhYDb
