Rd,Home Team,Score,Away Team,Result (W/D/L),Attendance,Noise_Field_1,Dummy_Col_2
1,Harlequins RL,28–47,Wigan Warriors,L,"8,041",vitcAs,aHmZZ
2,Hull,6–24,Harlequins RL,W,"13,313",hZpedBw,IoDiM
3,Harlequins RL,34–18,Wakefield Trinity Wildcats,W,"3,176",vtUOss,cYMzoBM
4,Castleford Tigers,16–22,Harlequins RL,W,"6,268",ufkBd,nIqdE
5,Harlequins RL,24–0,Huddersfield Giants,W,"3,284",GcXCgaZm,aEaSRn
6,[[]],–,[[]],.,—,JdlNEHW,EDPZKb
7,[[]],–,[[]],.,—,xKfRMh,ntfkCO
CCC4,[[]],–,[[]],.,—,BEFEOFVV,yjPVvi
8,[[]],–,[[]],.,—,qdQDmF,mjxlBpv
9,[[]],–,[[]],.,—,xpuTTM,xYqpsJp
10,[[]],–,[[]],.,—,vJGtEUXB,TFLSOq
