Ship Name,Desig,Status,Notes,Links
Cummings,DD-365,Minor damage from bomb fragments,"nested at berth B-15; order of the ships from the pier outboard – Tracy, Preble, Cummings",[31]
Reid,DD-369,Undamaged,"nested with Conyngham, Tucker, Case and Selfridge, undergoing repairs alongside Whitney at berth X-8",[32]
Case,DD-370,Undamaged,"moored starboard side of Whitney at berth X-8. Nested with Conyngham, Reid, Tucker, Case and Selfridge moored alongside to port",[33]
Conyngham,DD-371,Undamaged,"moored starboard side to Whitney at berth X-8. Reid, Tucker, Case and Selfridge were nested outboard.",[34]
Cassin,DD-372,"Heavily damaged, considered lost, but rebuilt by February 5, 1944","in drydock next to Downes, forward of Pennsylvania",[35]
Shaw,DD-373,"Heavily damaged, lost bow, repaired by July 1942.",YFD-2),[36]
Tucker,DD-374,Undamaged,"moored with Whitney, Reid, Conyngham, Case and Selfridge at berth X-8.",[37]
Downes,DD-375,"Heavily damaged, considered lost, but rebuilt and recommissioned November 15, 1943",in drydock next to Cassin forward of Pennsylvania,[38]
Bagley,DD-386,Minor damage from nearby explosions,"Berth B-22, Navy Yard Pearl Harbor",[39]
Blue,DD-387,Undamaged,Berth X-7,[40]
