Ship Name,Desig,Status,Notes,Links
Helm,DD-388,Minor damage by two bomb near-misses,"Underway from berth X-7 just prior to attack, en route to deperming buoys at West Loch",[41]
Mugford,DD-389,Undamaged,"moored port side to the Sacramento, in berth B-6, at the Navy Yard",[42]
Ralph Talbot,DD-390,Undamaged,moored bow to southward to buoy X-11 with the Patterson alongside to port and the Henley to starboard.,[43]
Henley,DD-391,Minor damage from strafing,Moored with Patterson and Ralph Talbot,[44]
Patterson,DD-392,Undamaged,moored at berth X-11 with Henley and Ralph Talbot,[45]
Jarvis,DD-393,Undamaged,"moored port side to Mugford at berth B-6 Navy Yard Pearl Harbor, during a restricted availability period",[46]
Narwhal,SS-167,Undamaged,moored in berth S-9 at the Submarine Base,[47]
Dolphin,SS-169,Undamaged,"moored port side to, Pier #4, in Berth S-8, U.S. Submarine Base",[48]
Cachalot,SS-170,Undamaged,"moored at berth B-1, Navy Yard, undergoing scheduled overhaul",[49]
Tautog,SS-199,Undamaged,"moored at pier two, U.S. Submarine Base",[50]
