Ship Name,Desig,Status,Notes,Links,Dummy_Col_1
Pennsylvania,BB-38,Damaged,"in drydock No. 1, with Cassin and Downes. Three propeller shafts removed.",[1],EgmAA
Arizona,BB-39,"Sunk, total loss","Moored Battleship row, berth F-7 forward of Nevada aft of Tennessee",[2],MyMhsCGd
Nevada,BB-36,"Seriously damaged, beached at Hospital Point",Moored aft of Arizona at berth F-8,[3],OLvwxJO
Oklahoma,BB-37,"Sunk, total loss","Moored Battleship row, outboard of Maryland at berth F-5, forward of West Virginia",[4],uzYzZw
Tennessee,BB-43,"Relatively minor damage, repaired by February 1942","Moored starboard side to berth F-6, next to West Virginia and forward of Arizona",[5],ITMdiPT
California,BB-44,"Sunk, floated, rebuilt by January 1944","Moored starboard side to, at berth F-3.",[6],dvXTq
Maryland,BB-46,"Damaged, two bomb hits, repaired by February 26, 1942","Moored on Battleship row, inboard of Oklahoma at berth F-5, forward of Tennessee",[7],sRJovOzc
West Virginia,BB-48,"Sunk, floated, rebuilt by July 1944","Moored outboard of Tennessee at berth F-6, forward of Arizona",[8],hkBRuNM
New Orleans,CA-32,Minor damage,"Moored at Berth B-16, Navy Yard Pearl Harbor undergoing engine repairs",[9],xayQhJM
San Francisco,CA-38,Undamaged,Under overhaul at the Pearl Harbor Navy Yard berth B-17,[10],xaiPC
