Ship Name,Desig,Status,Notes,Links
Dobbin,AD-3,Minor damage,"berth X-2, nested with Hull, Dewey, Worden, MacDonough, and Phelps",[70]
Whitney,AD-4,Undamaged,"moored bow and stern to buoys X-8 and X-8S with Conyngham, Reid, Tucker, Case and Selfridge moored alongside to port",[71]
Curtiss,AV-4,"Suffered bomb damage, repaired San Diego, back to Pearl Harbor by January 13, 1942",moored in berth X-22,[72]
Tangier,AV-8,Minor damage by several bomb near-misses,"berthed at F-10, Ford Island, with ship's head bearing 230° true; Utah moored at F-11 directly astern; Raleigh at F-12",[73]
Avocet,AVP-4,Undamaged,"moored at berth F-1, Naval Air Station Dock",[74]
Swan,AVP-7,Undamaged,"resting on the Marine Railway dock, in boiler upkeep",[75]
Hulbert,AVD-6,Undamaged,moored berth S-3 at the Submarine Base,[76]
Thornton,AVD-11,Undamaged,"moored port side to dock at berth S-1, Submarine Base",[77]
Pyro,AE-1,Minor damage due to a near-miss from a dive bomber,moored starboard side to West Loch dock.,[78]
Ramapo,AO-12,Undamaged,"moored in Berth B-12, aft of Rigel, starboard side to, under the large crane",[79]
