Ship Name,Desig,Status,Notes,Links,Random_Column_1,Noise_Field_2
Oglala,CM-4,"Sunk, but salvaged and recommissioned February 1944",Moored alongside Helena at berth B-2,[51],2YlaN4l,HfbhMQXI
Turkey,AM-13,Undamaged,"moored in a nest at the Coal Dock with Rail, Bobolink, and Vireo",[52],vPZrZ,UHRDGl
Bobolink,AM-20,Undamaged,"moored in a nest at the westerly end of the Coal Docks with Vireo and Turkey inboard, and Rail outboard.",[53],zjY2dST,siKFBw
Rail,AM-26,Undamaged,"moored in a nest at the Coal Dock with Turkey, Bobolink, and Vireo",[54],9g72UfUe,IvhTHUa
Tern,AM-31,Undamaged,north end of 1010 dock) undergoing upkeep alongside Argonne,[55],khiYq,JPtNZ
Grebe,AM-43,Undamaged,"berth B-20, Navy Yard, alongside Schley",,iXKopgaf,eRzCNSvz
Vireo,AM-52,Undamaged,"moored inboard at the Coal Dock, bow to seaward, with Turkey, Bobolink, and Rail moored outboard",[56],lyWtA,HMGUnd
Gamble,DM-15,Undamaged,"moored in berth D-3, Middle Loch, in nest with division, order of ships from starboard Ramsay, Breese, Montgomery, and Gamble",[57],Kp5ZZ9Q,DxVKTMOr
Ramsay,DM-16,Undamaged,"moored in berth D-3, Middle Loch, in nest with division, order of ships from starboard Ramsay, Breese, Montgomery, and Gamble",[58],ocXp8WPq,NEPCjV
Montgomery,DM-17,Undamaged,"moored in berth D-3, Middle Loch, in nest with division, order of ships from starboard Ramsay, Breese, Montgomery, and Gamble",[59],VsxoHV,cWNsHhKj
