Ship Name,Desig,Status,Notes,Links
Raleigh,CL-7,Damaged by torpedo,"Moored at berth F-12, forward of Utah, aft of Detroit",[11]
Detroit,CL-8,Undamaged,"Moored at berth F-13, aft of Raleigh",[12]
Phoenix,CL-46,Undamaged,Berth C-6,[13]
Honolulu,CL-48,Minor damage from a bomb near miss,"Moored at berth B-21, Navy Yard, with St. Louis outboard",[14]
St. Louis,CL-49,Minor bullet hits,"Moored outboard of Honolulu at Berth B-21, Navy Yard,",[15]
Helena,CL-50,"Seriously damaged, repaired by mid-1942",Moored at berth B-2 Naval station with Oglala,[16]
Allen,DD-66,Undamaged,"Moored to Chew, Solace nearby to port, berth X-5.",[17]
Schley,DD-103,Undamaged,"Moored in a nest of ships undergoing overhaul in berth B-20, unarmed.",[18]
Chew,DD-106,Undamaged,berthed at X-5 to Allen,[19]
Ward,DD-139,Undamaged,patrolling channel entrance to Pearl Harbor,[20]
