Ship Name,Desig,Status,Notes,Links
Keosanqua,AT-38,,Operating at harbor entrance with Antares,[90]
Utah,AG-16,"Sunk, total loss","moored at Berth F-11, between Raleigh forward and Tangier astern",[91]
Argonne,AG-31,,"Moored at berth B-5, north end of 1010 Dock.",[92]
Sumner,AG-32,Minor injuries to gun crews incurred while firing on aircraft,"Moored to the new dock at the southern end of the Submarine Base, port side to, bow to eastward",[93]
Cockatoo,AMc-8,Undamaged,,
Crossbill,AMc-9,Undamaged,Returned to harbor from sweeping 0525,[94]
Condor,AMc-14,Undamaged,Returned to harbor from sweeping 0525,[95]
Reedbird,AMc-30,,,
Sunnadin,AT-28,,,
Taney,WHEC-37,Undamaged. Moored in Honolulu harbor.,"On July 25, 1941, the Coast Guard cutter was transferred to the Navy and reported for duty with the local defense forces of the 14th Naval District (Destroyer Division 80).",
