City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Baoji,宝鸡,"1,437,802","1,437,802",Prefecture-level city,"3,716,731",Shaanxi,
Suqian,宿迁,"1,437,686","1,437,686",Prefecture-level city,"4,715,553",Jiangsu,
Daqing,大庆,"1,415,268","1,649,825",Prefecture-level city,"2,904,532",Heilongjiang,Datong urban district not yet in built-up area.
Bozhou,亳州,"1,409,436","1,409,436",Prefecture-level city,"4,851,000",Anhui,"Built-up area smaller because of the huge city area (2,226 km²)."
Handan,邯郸,"1,403,439","941,427",Prefecture-level city,"9,174,679",Hebei,
Panjin,盘锦,"1,392,493","666,205",Prefecture-level city,"1,392,493",Liaoning,Incl. 2 urban districts plus Dawa and Panshan counties partly in built-up area.
Wenling,温岭市,"1,366,800","1,366,800",Prefecture-level city,Taizhou,Zhejiang,
Ma'anshan,马鞍山,"1,366,302","741,531",Prefecture-level city,"1,366,302",Anhui,Incl. Dangtu County largely being urbanized.
Zigong,自贡,"1,362,062","1,362,062",Prefecture-level city,"2,678,898",Sichuan,
Fushun,抚顺,Shenyang,"1,356,987",Prefecture-level city,"2,138,090",Liaoning,
Mianyang,绵阳,"1,355,331","1,355,331",Prefecture-level city,"4,613,862",Sichuan,
Yingkou,营口,"1,351,519","738,128",Prefecture-level city,"2,428,534",Liaoning,Incl. Dashiqiao city now in built-up area.
Yichang,宜昌,"1,350,150","1,411,380",Prefecture-level city,"4,059,686",Hubei,Xiaoting urban District not yet in built-up area.
Heze,菏泽,"1,346,700","1,346,700",Prefecture-level city,"8,287,800",Shandong,
Chifeng,赤峰,"1,333,526","1,333,526",Prefecture-level city,"4,341,245",Inner Mongolia,"Built-up area probably smaller because of the huge city area (7,012 km²)."
Guilin,桂林,"1,326,470","975,638",Prefecture-level city,"4,748,000",Guangxi,Incl. Lingchuang County being urbanized.
Xiangyang,襄阳,"1,294,732","2,199,689",Prefecture-level city,"5,500,307",Hubei,Xiangzhou urban District not yet in built-up area.
Rugao,如皋,"1,267,066","1,267,066",County-level city,Nantong,Jiangsu,
Xuchang,许昌,"1,265,454","498,058",Prefecture-level city,"4,307,199",Henan,Incl. Xuchang County being urbanized.
Wuhu,,"1,264,539","1,408,917",Prefecture-level city,"3,545,067",Henan,Sanshang urban district not yet in built-up area..
Neijiang,内江,"1,251,095","1,251,095",Prefecture-level city,"3,702,847",Sichuan,
