City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Huai'an,淮安,"2,633,420","2,633,420",Prefecture-level city,"4,799,899",Jiangsu,
Xuzhou,徐州,"2,623,066","3,053,078",Prefecture-level city,"8,580,500",Jiangsu,
Linyi,临沂,"2,600,200","2,600,200",Prefecture-level city,"10,039,400",Shandong,
Lanzhou,兰州,"2,492,325","2,492,325",Prefecture-level cityProvincial capital,"3,616,163",Gansu,
Yangzhou,扬州,"2,399,079","2,399,079",Prefecture-level city,"4,459,760",Jiangsu,
Huizhou,惠州,Guangzhou,"2,344,507",Prefecture-level city,"4,597,002",Guangdong,2 urban districts part of Guangzhou-Shenzhen built-up area.
Anshan,鞍山,"2,238,480","1,582,742",Prefecture-level city,"3,645,884",Liaoning,Incl. 4 Liaoning urban districts now in Anshan-Liaoning built-up area.
Haikou,海口,"2,046,189","2,046,189",Prefecture-level cityProvincial capital,"2,046,189",Hainan,
Yiwu,义乌,"2,038,400","2,038,400",County-level city,Jinhua,Zhejiang,Incl. Dongyang City in the Yiwu-Dongyang built-up area.
Baotou,包头,"2,034,996","2,070,801",Prefecture-level city,"2,650,364",Inner Mongolia,Shiguai urban District not yet urbanized.
Anyang,安阳,"1,995,760","1,146,761",Prefecture-level city,"5,172,834",Henan,Incl. Anyang County now in built-up area.
Liuzhou,柳州,"1,998,950","1,436,599",Prefecture-level city,"3,758,704",Guangxi,Incl. Liujiang County now in built-up area.
Hohhot,呼和浩特,"1,980,774","1,980,774",Prefecture-level cityProvincial capital,"2,866,615",Inner Mongolia,
Jilin City,吉林市,"1,975,803","1,975,803",Prefecture-level city,"4,414,681",Jilin,
Putian,莆田,"1,953,801","1,953,801",Prefecture-level city,"2,778,508",Fujian,
Xiangtan,湘潭,"1,875,300","959,303",Prefecture-level city,"2,748,552",Hunan,"Incl. Xiangtan County being urbanized. Built-up area of 2,930,673 in progress with 4 urban districts of Zhuzhou."
Yantai,烟台,"1,870,600","1,870,600",Prefecture-level city,"6,968,200",Shandong,
Luoyang,洛阳,"1,856,877","1,925,948",Prefecture-level city,"6,549,486",Henan,Jili urban district not yet in built-up area.
Huainan,淮南,"1,835,456","1,769,582",Prefecture-level city,"2,334,000",Anhui,Maoji urban District not in built-up area.
Jiangmen,江门,Guangzhou,"1,822,640",Prefecture-level city,"4,448,871",Guangdong,
Nanyang,南阳,"1,811,732","1,811,732",Prefecture-level city,"10,263,006",Henan,
