City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Zhengzhou,郑州,"4,867,388","4,253,627",Prefecture-level cityProvincial capital,"8,626,505",Henan,Incl. 6 urban districts plus Xingyang city.
Jinan,济南,"4,335,900","4,335,900",Sub-provincial cityProvincial capital,"6,813,800",Shandong,
Nanchang,南昌,"4,107,962","2,357,838",Prefecture-level cityProvincial capital,"5,042,565",Jiangxi,"Incl. Nanchang County being urbanized but not Wanli urban District, not yet in built-up area."
Changsha,长沙,"4,073,645","3,093,980",Prefecture-level cityProvincial capital,"7,044,118",Hunan,Incl. 5 urban districts plus Changsha County being urbanized.
Taiyuan,太原,"4,062,173","3,426,522",Prefecture-level cityProvincial capital,"4,201,591",Shanxi,Incl. Yuci and Qu urban districts in Jinzhong.
Shijiazhuang,石家庄,"3,995,290","2,861,784",Prefecture-level cityProvincial capital,"10,163,788",Hebei,"Incl. Luquan City, Zhengding and Luancheng Counties being urbanized."
Dalian,大连,"3,683,941","3,683,941",Sub-provincial city,"6,690,432",Liaoning,
Kunming,昆明,"3,583,429","3,583,429",Prefecture-level cityProvincial capital,"6,432,212",Yunnan,Incl. 4 urban districts and Chenggong suburban District.
Wuxi,无锡,"3,542,319","3,542,319",Prefecture-level city,"6,372,624",Jiangsu,
Changchun,长春,"3,530,115","3,530,115",Sub-provincial cityProvincial capital,"7,677,089",Jilin,
Ningbo,宁波,"3,491,597","3,491,597",Sub-provincial city,"7,605,700",Zhejiang,
Zibo,淄博,"3,484,800","2,980,800",Prefecture-level city,"4,530,600",Shandong,Incl. 5 urban districts plus Huantai Ccounty being urbanized.
Hefei,合肥,"3,352,076","3,352,076",Prefecture-level cityProvincial capital,"5,702,466",Anhui,
Changzhou,常州,"3,290,548","3,290,548",Prefecture-level city,"4,591,972",Jiangsu,
Taizhou,台州,"3,269,300","1,902,500",Prefecture-level city,"5,968,800",Zhejiang,Incl. Wenling city now in built-up area.
Tangshan,唐山,"3,187,171","3,187,171",Prefecture-level city,"7,577,284",Hebei,
Nantong,南通,"3,180,924","2,273,326",Prefecture-level city,"7,282,835",Jiangsu,Incl. Haimen city now in built-up area.
Nanning,南宁,"3,177,450","3,437,171",Prefecture-level cityProvincial capital,"6,661,600",Guangxi,Yongning urban District not yet in built-up area.
Guiyang,贵阳,"3,037,159","3,037,159",Prefecture-level cityProvincial capital,"4,324,561",Guizhou,
Ürümqi,乌鲁木齐,"2,988,715","3,029,372",Prefecture-level cityProvincial capital,"3,110,280",Xinjiang,Dabancheng suburban District not yet in built-up area.
Fuzhou,福州,"2,921,763","2,921,763",Prefecture-level cityProvincial capital,"7,115,370",Fujian,
