City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Zhangjiagang,张家港,"1,248,414","1,248,414",County-level city,Suzhou,Jiangsu,
Yixing,宜兴,"1,235,476","1,235,476",County-level city,Wuxi,Jiangsu,"Built-up area < 1,000,000 inhabitants as the City is 2039 km²."
Fuqing,福清,"1,234,838","1,234,838",County-level city,Fuzhou,Fujian,"Built-up area < 1,000,000 inhabitants as the City is 1932.4 km²."
Zhaoqing,肇庆,"1,232,701","644,045",Prefecture-level city,"3,918,085",Guangdong,Incl. Gaoyao County being urbanized but not Dinghu urban District not yet in built-up area.
Xinyang,信阳,"1,229,959","1,229,959",Prefecture-level city,"6,108,683",Henan,"Built-up area < 1,000,000 inhabitants as the 2 urban districts are 3672 km²."
Liaocheng,,"1,229,800","1,229,800",Prefecture-level city,"5,789,900",Shandong,
Maoming,茂名,"1,217,715","1,217,715",Prefecture-level city,"5,817,753",Guangdong,
Panzhihua,攀枝花,"1,214,100","1,214,100",Prefecture-level city,"5,817,753",Sichuan,
Jiaxing,嘉兴,"1,201,900","1,201,900",Prefecture-level city,"4,501,600",Zhejiang,
Haicheng,海城,"1,201,209","1,201,209",County-level city,Anshan,Liaoning,"Built-up area < 1,000,000 inhabitants as the City is 2732 km²."
Zhenjiang,镇江,"1,200,400","1,200,400",Prefecture-level city,"3,113,384",Jiangsu,
Xining,西宁,"1,198,304","1,198,304",Prefecture-level cityProvincial capital,"2,208,708",Qinghai,
Tianshui,天水,"1,197,174","1,197,174",Prefecture-level city,"3,262,548",Gansu,
Taixing,泰兴市,"1,192,213","1,192,213",County-level city,Taizhou,Jiangsu,
Huazhou,化州,"1,178,873","1,178,873",County-level city,Maoming,Guangdong,"Built-up area < 1,000,000 inhabitants as the City is 2354 km²."
Qujing,曲靖,"1,171,805","740,925",Prefecture-level city,"5,855,055",Yunnan,Incl. Zhanyi County in built-up area.
Dingzhou,定州,"1,165,182","1,165,182",County-level city,Baoding,Hebei,
Zhangqiu,章丘,"1,064,200","1,064,200",County-level city,Jinan,Shandong,"Built-up area < 1,000,000 inhabitants as the City is 1855 km²"
Zhuji,诸暨,"1,157,900","1,157,900",County-level city,Shaoxing,Zhejiang,"Built-up area < 1,000,000 inhabitants as the City is 2311 km²"
Xingtai,邢台,"1,155,199","688,876",Prefecture-level city,"7,104,114",Hebei,Incl. Xingtai County now in built-up area.
Jingzhou,荆州,"1,154,086","1,154,086",Prefecture-level city,"5,691,707",Hubei,
