City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Shouguang,寿光,"1,139,400","1,139,400",County-level city,Weifang,Shandong,"Built-up area < 1,000,000 inhabitants as the City is 2180 km²"
Yuzhou,禹州,"1,131,819","1,131,819",County-level city,Xuchang,Henan,"Built-up area < 1,000,000 inhabitants as the City is 1472 km²"
Bazhong,巴中,"1,126,790","1,126,790",Prefecture-level city,"3,283,771",Sichuan,"Built-up area < 1,000,000 inhabitants as Bazhou urban District is 2566 km²"
Zoucheng,邹城市,"1,116,700","1,116,700",County-level city,Jining,Shandong,"Built-up area < 1,000,000 inhabitants as the City is 1619 km²"
Jining,济宁,"1,115,300","1,115,300",Prefecture-level city,"8,081,900",Shandong,
Huaibei,淮北,"1,113,321","1,113,321",Prefecture-level city,"2,114,276",Anhui,
Zunyi,遵义,"1,095,189","1,095,189",Prefecture-level city,"6,127,009",Guizhou,
Guigang,贵港,"1,086,327","1,493,874",Prefecture-level city,"4,118,808",Guangxi,Incl. Gangbei and Gangnan urban districts only.
Zhucheng,济宁,"1,086,200","1,086,200",county-level city,"8,081,900",Shandong,"Built-up area < 1,000,000 inhabitants as the City is 2183 km²"
Jinhua,金华,"1,077,300","1,077,300",Prefecture-level city,"5,361,600",Zhejiang,
Hengyang,衡阳,"1,075,516","1,135,166",Prefecture-level city,"7,141,462",Hunan,Nanyue urban district not yet in built-up area.
Zhuzhou,株洲,"1,055,373","1,055,373",Prefecture-level city,"3,855,609",Hunan,"Built-up area of 2,930,673 in progress with 3 urban districts of Xiangtan."
Lianyungang,连云港,"1,049,831","1,049,831",Prefecture-level city,"4,393,914",Jiangsu,
Ezhou,鄂州,"1,035,975","1,048,672",Prefecture-level city,"1,048,672",Hubei,Incl. only Echeng urban district plus Huangzhou district of Huanggang Prefecture.
Pingdingshan,平顶山,"1,033,975","1,033,975",Prefecture-level city,"4,904,367",Henan,
Qinhuangdao,秦皇岛,"1,029,670","1,029,670",Prefecture-level city,"2,987,605",Hebei,
Linhai,临海,"1,028,800","1,028,800",County-level city,Taizhou,Zhejiang,"Built-up area < 1,000,000 inhabitants as the city is 2331 km²."
Wuwei,武威,"1,010,295","1,010,295",Prefecture-level city,"1,815,054",Gansu,"Built-up area < 1,000,000 inhabitants as the Liangzhou urban district is 5081 km²."
Hezhou,贺州,"1,005,500","1,005,500",Prefecture-level city,"1,954,100",Guangxi,"Built-up area < 1,000,000 inhabitants as the Babu urban district is 5334 km²"
Zaoyang,枣阳,"1,004,741","1,004,741",County-level city,Xianyang,Hubei,"Built-up area < 1,000,000 inhabitants as the city is 3277 km²."
Xiangcheng,项城,"1,003,626","1,003,626",County-level city,Zhoukou,Henan,
