City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks,Random_Column_1,Random_Column_2
Liaoyang,辽阳,Anshan,"655,738",Prefecture-level city,"1,859,768",Liaoning,,cEX6qq,5JMLRqC
Puyang,濮阳,"655,631","655,631",Prefecture-level city,"3,598,494",Henan,,tZrKR7us,9FpTg
Yulin,玉林,"637,617","637,617",Prefecture-level city,"3,351,437",Guangxi,Incl. largely rural areas.,WDQjJj,3kLa4vj
Jingjiang,靖江,"617,277","617,277",County-level city,Taizhou,Jiangsu,,RNR535is,zCYfTm
Jiujiang,九江,"592,381","592,381",Prefecture-level city,"4,728,764",Jiangxi,,D3746,8eXdpv5l
Taizhou,泰州,"586,392","1,417,567",Prefecture-level city,"4,618,558",Jiangsu,Jiangyan suburban District not yet in built-up area.,Idgd2,LnsxjD
Chuzhou,滁州,"562,321","562,321",Prefecture-level city,"3,937,868",Anhui,,nrdrGFxX,ikCHQ9ts
Macau,澳门,Zhuhai,"552,503",Special administrative region,"541,200",Macau,,jnDuX5X5,k14E2Sk
Cangzhou,沧州,"536,793","536,793",Prefecture-level city,"7,134,053",Hebei,,kqQ6e,dGNyfA
Aksu,阿克苏,"535,657","535,657",County-level city,"2,370,887",Xinjiang,Incl. largely rural areas.,xrltFkP,K8cy30C
Beihai,北海,"525,385","668,085",Prefecture-level city,"1,539,300",Guangxi,Incl. Haicheng and Yinhai urban districts.,dPWau,UgBKliE
Zhoukou,周口,"505,139","505,139",Prefecture-level city,"8,953,172",Henan,,yCPBa,akEVJ
Hegang,鹤岗,"489,232","489,232",Prefecture-level city,"1,058,665",Heilongjiang,Dongshan District not yet in built-up area.,VccwD,k0d1QAn
Nanping,南平,"467,875","467,875",Prefecture-level city,"2,645,549",Fujian,,EMDZ9cqZ,ZI2u2
Chaozhou,潮州,Shantou,"452,472",Prefecture-level city,"2,669,844",Guangdong,,rsg2hvPY,EOn0F
Lishui,丽水,"451,400","451,400",Prefecture-level city,"2,117,000",Zhejiang,,NSlz0,dJivB01
Lhasa,拉萨,"279,074","279,074",Prefecture-level cityProvincial capital,"559,423",Tibet,,jA3vIm,QF9QM3V
Karamay,克拉玛依,"261,445","261,445",Prefecture-level city,"391,008",Xinjiang,,yv2FThD4,4XwueYd
Altay,阿勒泰,"190,064","190,064",County-level city,"603,280",Xinjiang,,gdNr8pN4,mZtk1S9
Lijiang,丽江,"155,540","155,540",Prefecture-level city,"1,244,769",Yunnan,,VYZVT,6XwuzN
