City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Dongying,东营,"999,000","756,700",Prefecture-level city,"2,035,300",Shandong,Incl. Kenli county partly within built-up area.
Yueyang,岳阳,"991,465","1,232,133",Prefecture-level city,"5,477,911",Hunan,Junshan urban districts not yet in built-up area.
Laiwu,莱芜,"989,500","1,298,500",Prefecture-level city,"1,298,500",Shandong,Gangcheng urban district not yet in built-up area.
Qiqihar,齐齐哈尔,"979,517","1,481,637",Prefecture-level city,"5,611,000",Heilongjiang,"Incl. Longsha, Jianhua and Tiefeng urban districts only."
Benxi,本溪,"972,932","972,932",Prefecture-level city,"1,709,538",Liaoning,
Bengbu,蚌埠,"972,784","972,784",Prefecture-level city,"3,164,467",Anhui,
Qidong,启东,"972,525","972,525",County-level city,Nantong,Jiangsu,
Mudanjiang,牡丹江,"965,154","965,154",Prefecture-level city,"2,798,723",Heilongjiang,
Danyang,丹阳市,"960,418","960,418",County-level city,Zhenjiang,Jiangsu,
Wuchuan,吴川,"947,499","947,499",County-level city,Zhanjiang,Guangdong,
Feicheng,肥城,"946,600","946,600",County-level city,Tai'an,Shandong,
Xianyang,咸阳,Xi'an,"945,420",Prefecture-level city,"5,096,006",Shaanxi,
Linfen,临汾,"944,050","944,050",Prefecture-level city,"4,316,612",Shanxi,
Xinyi,新沂,"920,610","920,610",County-level city,Xuzhou,Jiangsu,
Weihai,威海,"908,200","908,200",Prefecture-level city,"2,804,800",Shandong,
Haimen,海门,Nantong,"907,598",County-level city,Nantong,Jiangsu,Incl. in Nantong built-up area in 2012.
Xinxiang,新乡,"902,731","1,047,020",Prefecture-level city,"5,707,801",Henan,Fengquan urban District not yet linked to built-up area.
Zaozhuang,枣庄,"899,700","2,125,136",Prefecture-level city,"3,729,300",Shandong,"Xuecheng, Shanting and Tai'erzhuang urban districts not in built-up area."
Kaifeng,开封,"896,057","896,057",Prefecture-level city,"4,676,159",Henan,
Hengyang,衡阳,"886,424","936,789",Prefecture-level city,"7,141,462",Hunan,
Shaoxing,绍兴,Hangzhou,"883,800",Prefecture-level city,"4,912,200",Zhejiang,Yuecheng urban district and Shaoxing County in Hangzhou built-up area.
