City2010 census,Chinese,Built-up Area,Urban Area,Level,Administrative Area,Province-level division,Remarks
Baoding,保定,"1,789,550","1,157,891",Prefecture-level city,"11,194,379",Hebei,Incl. Qingyuan Ccounty now in built-up area.
Nanchong,南充,"1,771,920","1,771,920",Prefecture-level city,"6,278,622",Sichuan,2000 census for built-up area.
Fuyang,阜阳,"1,768,947","1,768,947",Prefecture-level city,"7,599,918",Anhui,
Tai'an,泰安,"1,735,500","1,735,500",Prefecture-level city,"5,494,200",Shandong,
Suzhou,宿州,"1,647,642","1,647,642",Prefecture-level city,"5,352,924",Anhui,
Lu'an,六安,"1,644,344","1,778,583",Prefecture-level city,"5,612,000",Anhui,Yeji urban District not yet urbanized.
Datong,大同,"1,629,035","1,737,517",Prefecture-level city,"5,612,000",Anhui,Xinrong urban District not yet urbanized.
Zhanjiang,湛江,"1,612,300","1,612,300",Prefecture-level city,"1,392,493",Guangdong,
Tengzhou,滕州,"1,603,700","1,603,700",County-level city,Zaozhuang,Shandong,
Huangshi,黄石,"1,601,687","764,571",Prefecture-level city,"2,429,318",Hubei,Incl. Daye city.
Jiangyin,江阴,"1,594,829","1,594,829",County-level city,Wuxi,Jiangsu,
Weifang,潍坊,"1,521,600","1,521,600",Prefecture-level city,"9,086,200",Shandong,
Yinchuan,银川,"1,513,151","1,290,170",Prefecture-level cityProvincial capital,"1,993,088",Ningxia,Incl. Helan county within built-up area.
Changshu,常熟,"1,510,103","1,510,103",County-level city,Suzhou,Jiangsu,
Zhuhai,珠海,"1,500,000","1,560,229",Prefecture-level citySpecial Economic Zones,"1,560,229",Guangdong,Incl. Macau and southern part of Zhongshan but not eastern part of Zhuhai prefecture not yet urbanized. Satellite views show that Zhuhai-Macau conurbation is being included into Guangzhou-Shenzhen built-up area.
Dengzhou,邓州,"1,468,061","1,468,061",County-level city,Nanyang,Henan,"Built-up area smaller because of the huge city area (2,226 km²)"
Cixi,慈溪,"1,462,383","1,462,383",County-level city,Ningbo,Zhejiang,
Changde,常德,"1,458,536","1,458,536",Prefecture-level city,"5,717,218",Hunan,
Pizhou,邳州,"1,458,036","1,458,036",County-level city,Xuzhou,Jiangsu,
Zhangzhou,漳州,"1,453,135","596,165",Prefecture-level city,"4,809,983",Fujian,
Datong,大同,"1,447,550","1,570,035",Prefecture-level city,"3,318,057",Shanxi,
