Event,Date,Area,Tornadoes,Casualties,Notes
1967 St. Louis tornado outbreak,"January 24, 1967",Midwest,32,6 fatalities,"One of the most intense January outbreaks ever documented. F3+ tornadoes occurred as far north as Wisconsin. An F4 tornado killed three in the St. Louis suburbs, paralleling the paths of earlier tornadoes in 1896 and 1927. Two students were killed at a high school in Orrick, Missouri."
1967 Oak Lawn tornado outbreak,"April 21, 1967",Midwest,45,58 fatalities,"One of the most intense outbreaks to hit the Chicago metropolitan area. An F4 devastated Belvidere, Illinois, killing 13 people in a school (one of the highest such tolls in US history. Another very destructive F4 hit Oak Lawn, killing 33 people in rush-hour traffic. Other violent tornadoes touched down in Missouri and Michigan."
1967 Southern Minnesota tornado outbreak,"April 30, 1967",Minnesota,9,13 fatalities,Only one tornado below F2 strength in Minnesota. The towns of Albert Lea and Waseca were devastated by deadly F4s.
Hurricane Beulah,"September 19–23, 1967",Texas – Mexico,>115,5 fatalities,"One of the largest tropical cyclone-related tornado outbreaks recorded. Produced several strong tornadoes, some of which were deadly."
"1968 Wheelersburg, Ohio tornado outbreak","April 23, 1968",Ohio Valley,13,14 fatalities,"Outbreak produced several violent and killer tornadoes across the Ohio Valley, including two F4s—one possibly an F5. An official F5 struck Wheelersburg and Gallipolis as well. The F5 rating is, however, disputed by some sources."
May 1968 tornado outbreak,"May 15–16, 1968",Mississippi Valley,46,74 fatalities,"Two F5 tornadoes struck Iowa on the same day, killing 18 people. Two deadly F4s struck Arkansas, including one that killed 35 people in Jonesboro."
1968 Tracy tornado,"June 13, 1968",Minnesota,1,9 fatalities,"Powerful but narrow F5 tornado killed nine people and injured 150 in Tracy, Minnesota."
"1969 Hazlehurst, Mississippi tornado outbreak","January 23, 1969",Southeastern United States,3,32 fatalities,"Devastating pre-dawn tornado near Hazlehurst killed 32 people on a long path across southern Mississippi. (2 significant, 1 violent killer)"
1969 Minnesota tornado outbreak,"August 6, 1969",Minnesota,13,"15 fatalities, 109 injuries",Mid-summer outbreak produced several destructive tornadoes in Minnesota. An F4 tornado killed 12 people near Outing.
August 1969 Cincinnati tornado outbreak,"August 9, 1969",Indiana – Ohio,10,4 fatalities,F4 killed 4 in the Cincinnati suburbs. Other strong tornadoes occurred in Indiana and Virginia.
