Event,Date,Area,Tornadoes,Casualties,Notes,Dummy_Col_1
May 1960 tornado outbreak sequence,"May 4–6, 1960","Southern Great Plains, South, Midwest",66,33 fatalities,"Produced numerous violent and killer tornadoes, especially in Oklahoma. An F5 killed five people and produced extreme damage near Prague and Iron Post. An F4 struck Wilburton and killed 16. (41 significant, 5 violent, 8 killer)",ClTpE
Hurricane Carla,September 1961,Southern U.S.,8,–,"Produced several strong tornadoes, including an F4 killer tornado that hit Galveston, Texas.",NQTgc
1964 Wichita Falls Tornado,"April 3, 1964","Wichita Falls, Texas",–,"7 dead, 100+ injured","Was rated F5. First tornado ever captured on live television. First of two violent tornadoes to hit Wichita Falls, the other—an F4 that killed 42—occurring on April 10, 1979.",EObWcDu
1964 Michigan tornado,"May 8, 1964",Metro Detroit,1,11 fatalities,F4 tornado struck suburban areas of metropolitan Detroit.,IgzLalJo
February 1965 South Florida tornado outbreak,"February 23, 1965",Southern Florida,4,"0 fatalities, 8 injuries","Produced an unusually strong tornado in South Florida, an F3 that hit Fort Lauderdale. (2 significant, 0 violent, 0 killer)",gmYyV
1965 Palm Sunday tornado outbreak,"April 11–12, 1965",Central United States,47,256–271 fatalities,"Among the most intense outbreaks ever recorded. Numerous violent and long-track tornadoes, some possibly F5s, tore across the Great Lakes states, killing hundreds of people. Two violent F4s hit Dunlap, Indiana, killing 51 people there. Two F4s with parallel paths in Michigan killed 44 people. Deadly tornadoes also impacted the Cleveland and Toledo areas. (32 significant, 17 violent, 21 killer)",eFJqLdL
Early-May 1965 tornado outbreak sequence,"May 6–8, 1965","Minnesota, Front Range, Great Plains",50,17 fatalities,"Included the 1965 Twin Cities tornado outbreak, in which a series of violent tornadoes struck the Twin Cities metro area on May 6, devastating Fridley and Golden Valley. A violent outbreak occurred on May 8 in Nebraska and South Dakota, including a massive F5 tornado in Tripp County and two long-tracked F4s, one of which almost obliterated Primrose, killing four people. (28 significant, 7 violent, 5 killer)",akWpB
Late-May 1965 tornado outbreak,"May 25–26, 1965",Great Plains,51,0 fatalities,"Produced multiple strong tornadoes in the Great Plains, including an F3 near Pratt, Kansas.",dsOgSd
"Candlestick Park tornado – Jackson, Mississippi","March 3, 1966",Mississippi – Alabama,1,58 fatalities,"Extremely violent F5 tornado or tornado family that killed 57 people and traveled 202.5 mi (325.9 km) across Mississippi and Alabama, one of the longest such paths on record. One of only four official F5s to hit Mississippi.",JAchMljA
1966 Tampa tornado family,"April 4, 1966","Central Florida, I-4 corridor",2,11 fatalities,"Third-deadliest tornado event in Florida, behind those of February 2, 2007, and February 22–23, 1998. Produced at least two long-tracked tornadoes, including one of only two F4s in Florida history, killing 11 people. Affected major urban areas in Tampa and Greater Orlando, but crossed the entire state as well.",GIkPzdid
June 1966 tornado outbreak sequence,"June 8–9, 1966",Kansas – Illinois,57,18 fatalities,"Outbreak sequence produced a series of tornadoes across the Great Plains states. An F5 devastated downtown Topeka, Kansas, killing 16 people and disproving myths about the city's being protected. A large F3 also hit Manhattan, Kansas.",etWxc
