STAPLE:,Maize / Corn,Rice,Wheat,Potato,Cassava,Soybean (Green),Sweet potato,Sorghum,Yam,Plantain,Irrelevant_1
Phosphorus (mg),210,115,288,57,27,194,47,287,55,34,NwqurtnD
Potassium (mg),287,115,363,421,271,620,337,350,816,499,rqqkv
Sodium (mg),35,5,2,6,14,15,55,6,9,4,ArlZYHcz
Zinc (mg),2.21,1.09,2.65,0.29,0.34,0.99,0.3,0,0.24,0.14,jRwDE
Copper (mg),0.31,0.22,0.43,0.11,0.10,0.13,0.15,-,0.18,0.08,s5sP5R
Manganese (mg),0.49,1.09,3.99,0.15,0.38,0.55,0.26,-,0.40,-,OLUtGfV
Selenium (μg),15.5,15.1,70.7,0.3,0.7,1.5,0.6,0,0.7,1.5,Bynt7
Vitamin C (mg),0,0,0,19.7,20.6,29,2.4,0,17.1,18.4,8w828q6
Thiamin (mg),0.39,0.07,0.30,0.08,0.09,0.44,0.08,0.24,0.11,0.05,TLcs2
Riboflavin (mg),0.20,0.05,0.12,0.03,0.05,0.18,0.06,0.14,0.03,0.05,6azeBoY
Niacin (mg),3.63,1.6,5.46,1.05,0.85,1.65,0.56,2.93,0.55,0.69,SnGzxs7
