STAPLE:,Maize / Corn,Rice,Wheat,Potato,Cassava,Soybean (Green),Sweet potato,Sorghum,Yam,Plantain,Dummy_Col_1,Extra_Data_2
Component (per 100g portion),Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,Amount,IFQFxGry,425
Water (g),10,12,13,79,60,68,77,9,70,65,pZKHjMOo,998
Energy (kJ),1528,1528,1369,322,670,615,360,1419,494,511,FXwAG,523
Protein (g),9.4,7.1,12.6,2.0,1.4,13.0,1.6,11.3,1.5,1.3,vpRZnNvT,54
Fat (g),4.74,0.66,1.54,0.09,0.28,6.8,0.05,3.3,0.17,0.37,CsqpxDu,295
Carbohydrates (g),74,80,71,17,38,11,20,75,28,32,PBPsYX,645
Fiber (g),7.3,1.3,12.2,2.2,1.8,4.2,3,6.3,4.1,2.3,CLVNas,466
Sugar (g),0.64,0.12,0.41,0.78,1.7,0,4.18,0,0.5,15,EdjmS,573
Calcium (mg),7,28,29,12,16,197,30,28,17,3,yhurc,36
Iron (mg),2.71,0.8,3.19,0.78,0.27,3.55,0.61,4.4,0.54,0.6,UeBlTCH,502
Magnesium (mg),127,25,126,23,21,65,25,0,21,37,kgVVSXm,590
