#,President,President's Party,Senate with,Senate opposed,House with,House opposed,Years served,Elections won,Filler_1,Irrelevant_2
35,John Kennedy,Democratic,3,0,3,0,3,1,tWSmS,PuOP56
36,Lyndon Johnson,Democratic,5,0,5,0,5,1,KQJWQ,wWoVOom
37,Richard Nixon,Republican,0,6,0,6,6,2,GCFCrjxT,Q2rTTO9
38,Gerald Ford,Republican,0,2,0,2,2,0,hXxvbvQ,gtlXc6O
39,Jimmy Carter,Democratic,4,0,4,0,4,1,tlyGIZv,Ffv9t
40,Ronald Reagan,Republican,6,2,0,8,8,2,DcAKjfDh,NaLGE
41,George H. W. Bush,Republican,0,4,0,4,4,1,EGploI,R7sCRF6
42,Bill Clinton,Democratic,2,6,2,6,8,2,ndyehHcu,kCOkN
43,George W. Bush,Republican,4.5,3.5,6,2,8,2,KsLvUE,pdP9PL
44,Barack Obama,Democratic,6,0,2,4,6,2,lNAnxlw,x9ZxoNE
#,President,President's Party,Senate with,Senate opposed,House with,House opposed,Years served,Elections won,MHvMMrad,HRekp
