#,President,President's Party,Senate with,Senate opposed,House with,House opposed,Years served,Elections won
1,George Washington,Federalist-leaning,8,0,6,2,8,2
2,John Adams,Federalist,4,0,4,0,4,1
3,Thomas Jefferson,Democratic-Republican,8,0,8,0,8,2
4,James Madison,Democratic-Republican,8,0,8,0,8,2
5,James Monroe,Democratic-Republican,8,0,8,0,8,2
6,John Quincy Adams,National Republican,2,2,2,2,4,1
7,Andrew Jackson,Democratic,8,0,8,0,8,2
8,Martin Van Buren,Democratic,4,0,4,0,4,1
9,William Harrison,Whig,0.1,0,0.1,0,0.1,1
10,John Tyler,Whig/none,4,0,2,2,4,0
11,James Polk,Democratic,4,0,2,2,4,1
12,Zachary Taylor,Whig,0,1,0,1,1,1
