#,President,President's Party,Senate with,Senate opposed,House with,House opposed,Years served,Elections won
24,Grover Cleveland,Democratic,2,2,2,2,4,1
25,William McKinley,Republican,4,0,4,0,4,2
26,Theodore Roosevelt,Republican,8,0,8,0,8,1
27,William Taft,Republican,4,0,2,2,4,1
28,Woodrow Wilson,Democratic,6,2,6,2,8,2
29,Warren Harding,Republican,2,0,2,0,2,1
30,Calvin Coolidge,Republican,6,0,6,0,6,1
31,Herbert Hoover,Republican,4,0,2,2,4,1
32,Franklin Roosevelt,Democratic,12,0,12,0,12,4
33,Harry Truman,Democratic,6,2,6,2,8,1
34,Dwight Eisenhower,Republican,2,6,2,6,8,2
