#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Other Info
117,August 15,Mets,7 - 3,Moyer (10-9),Leach (10-1),DiPino (2),"32,425",60-57,
118,August 16,Mets,23 - 10,Darling (10-7),Maddux (6-11),,"32,731",60-58,Billy Williams day ruined by football score
119,August 18,@ Braves,9 - 5,Mahler (7-12),Lynch (1-8),Acker (8),"17,469",60-59,
120,August 19,@ Braves,9 - 1,Sanderson (7-6),Puleo (5-6),,"10,523",61-59,
121,August 20,@ Braves,13 - 4,Acker (1-5),Moyer (10-10),,"11,647",61-60,
122,August 21,Astros,7 - 5,DiPino (3-2),Deshaies (10-5),Smith (30),"31,006",62-60,
123,August 22,Astros,5 - 4 11,Andersen (8-4),DiPino (3-3),Smith (21),"32,552",62-61,
124,August 23,Astros,4 - 2,Heathcock (3-1),Sutcliffe (15-6),Smith (22),"33,934",62-62,
125,August 27,Braves,5 - 2,Z. Smith (14-7),Moyer (10-11),,,62-63,
126,August 27,Braves,8 - 6 8,Lancaster (4-1),Mahler (7-13),DiPino (3),"19,006",63-63,
127,August 28,@ Reds,6 - 5 10,Smith (4-7),Franco (7-5),,"28,223",64-63,
128,August 29,@ Reds,4 - 1,Browning (6-11),Sanderson (7-7),,"37,783",64-64,
129,August 30,@ Reds,3 - 1,Lynch (2-8),Rasmussen (0-1),Smith (31),"33,485",65-64,
130,August 31,@ Astros,4 - 3,Lancaster (5-1),Darwin (8-9),Smith (32),"17,734",66-64,
