#,Date,Opponent,Score,Win,Loss,Save,Attendance,Record,Other Info,Extra_Data_1,Unused_2,Irrelevant_3
103,August 1,Phillies,5 - 3,Lancaster (3-1),Hume (1-3),Smith (26),"33,002",53-50,Dawson hits three home runs,39,,2cjZuqoB
104,August 2,Phillies,3 - 2 10,Smith (3-6),Calhoun (0-1),,"33,629",54-50,,724,,jVqeV
105,August 3,@ Pirates,6 - 4,Drabek (3-10),Maddux (6-10),Gott (1),"7,281",54-51,,857,,5wGEs
106,August 4,@ Pirates,3 - 2 11,Mason (3-1),Gideon (1-2),,"8,744",55-51,,69,,yInjTtp
107,August 5,@ Pirates,10 - 0,Fisher (7-6),Moyer (9-8),,"7,726",55-52,,72,,SoSc1Y
108,August 6,@ Mets,7 - 6,McDowell (7-3),Smith (3-7),,"37,584",55-53,,106,,niQAuvvI
109,August 7,@ Mets,7 - 1,Darling (8-7),Sutcliffe (15-5),,"43,440",55-54,,525,,Q6ifg
110,August 8,@ Mets,5 - 3,Mason (4-1),Schulze (1-2),Smith (27),"47,893",56-54,,857,,BLTUXTVN
111,August 9,@ Mets,6 - 3,Sanderson (5-6),Gooden (9-4),Smith (28),"49,031",57-54,,775,,dz8mG8x
112,August 10,@ Phillies,4 - 2,Frohwirth (1-0),Moyer (9-9),Bedrosian (31),"26,796",57-55,,311,,XQWHDY
113,August 11,@ Phillies,9 - 8 13,K. Gross (7-10),Tewksbury (0-4),,"30,459",57-56,,662,,RWwR4H1
114,August 12,@ Phillies,13 - 7,Calhoun (1-1),Lynch (1-7),,"36,190",57-57,,679,,IMAG6fer
115,August 13,Mets,7 - 5,DiPino (2-2),McDowell (7-4),Smith (29),"35,033",58-57,,936,,KrY2fm9e
116,August 14,Mets,6 - 1,Sanderson (6-6),Mitchell (3-5),,"17,811",59-57,,498,,IRA2gpV
