Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
1,8,24,Jeff Gordon,Hendrick Motorsports,Chevrolet,160,185
2,1,18,Bobby Labonte,Joe Gibbs Racing,Pontiac,160,175
3,9,31,Mike Skinner,Richard Childress Racing,Chevrolet,160,165
4,25,12,Jeremy Mayfield,Penske-Kranefuss Racing,Ford,160,165
5,7,2,Rusty Wallace,Penske Racing South,Ford,160,160
6,4,5,Terry Labonte,Hendrick Motorsports,Chevrolet,160,150
7,12,22,Ward Burton,Bill Davis Racing,Pontiac,160,146
8,39†,36,Ernie Irvan,MB2 Motorsports,Pontiac,160,142
9,16,33,Ken Schrader,Andy Petree Racing,Chevrolet,160,138
10,5,3,Dale Earnhardt,Richard Childress Racing,Chevrolet,160,139
11,37,4,Bobby Hamilton,Morgan-McClure Motorsports,Chevrolet,160,130
