Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points,Random_Column_1,Noise_Field_2,Irrelevant_3
12,38,23,Jimmy Spencer,Travis Carter Enterprises,T-Bird,160,132,b5UiFv,DpQMA,KCezYL17
13,2,99,Jeff Burton,Roush Racing,Ford,160,124,kbLFN,iuHNtqT,QVWX8Kd
14,14,43,John Andretti,Petty Enterprises,Pontiac,160,121,rrjwoK,IYvUJN,dk8v9U
15,31,94,Bill Elliott,Bill Elliott Racing,Ford,160,118,tstj8j,NlAtxn,CvgN4GD
16,6,6,Mark Martin,Roush Racing,Ford,160,115,kAWDvQ,fQNQE,Vrdw7X
17,27,42,Joe Nemechek,Team Sabco,Chevrolet,160,112,EBUTVY,rVJijkq,mLD2pz
18,17,40,Sterling Marlin,Team Sabco,Chevrolet,160,109,5ZxtL,vZYSrI,1ZgfVks
19,33,9,Jerry Nadeau #,Melling Racing,Ford,160,106,2p9OGt,LeEsXW,W07Lt
20,20,97,Chad Little,Roush Racing,T-Bird,159,103,F6fCzlAl,CncMWsm,sxm5GWEB
21,30,71,Dave Marcis,Marcis Auto Racing,Chevrolet,159,105,8bMpcECw,MbDhKg,C87Glt
22,42,44,Kyle Petty,PE2,Pontiac,159,97,ZkzsvUL,iANoI,XJqX4Qv
