Pos,Grid,No.,Driver,Team,Manufacturer,Laps,Points
23,3,88,Dale Jarrett,Robert Yates Racing,Ford,159,99
24,23,91,Andy Hillenburg,LJ Racing,Chevrolet,159,91
25,19,11,Brett Bodine,Brett Bodine Racing,Ford,159,88
26,40,26,"Johnny Benson, Jr.",Roush Racing,Ford,159,85
27,41,10,Ricky Rudd,Rudd Performance Motorsports,Ford,159,82
28,43,35,Darrell Waltrip,Tyler Jet Motorsports,Pontiac,158,79
29,24,96,Steve Grissom,American Equipment Racing,Chevrolet,157,76
30,35,50,"Wally Dallenbach, Jr.",Hendrick Motorsports,Chevrolet,156,73
31,29,21,Michael Waltrip,Wood Brothers Racing,Ford,144,70
32,11,28,"Kenny Irwin, Jr. #",Robert Yates Racing,Ford,140,72
33,15,1,Steve Park #,"Dale Earnhardt, Inc.",Chevrolet,139,64
