Club,Season,LeagueApps,LeagueGoals,FA CupApps,FA CupGoals,League CupApps,League CupGoals,OtherApps,OtherGoals,TotalApps,TotalGoals
Bristol Rovers,2000–01,10,2,0,0,0,0,0,0,10,2
Bristol Rovers,2001–02,31,3,3,0,2,0,3,0,39,3
Bristol Rovers,2002–03,9,0,1,0,0,0,1,0,11,0
Bristol Rovers,Total,50,5,4,0,2,0,4,0,60,5
Yeovil Town,2002–03,13,13,0,0,0,0,2,1,15,14
Yeovil Town,2003–04,43,8,3,1,1,0,2,1,49,10
Yeovil Town,2004–05,44,3,5,0,2,0,1,0,52,3
Yeovil Town,2005–06,36,2,3,0,2,1,1,0,42,3
Yeovil Town,Total,136,26,11,1,5,1,6,2,158,30
Carlisle United,2006–07,45,8,1,0,1,0,1,0,48,8
