Rank,Bib,Name,Nationality,Start,Penalties (P+P+S+S),Time,Deficit,Dummy_Col_1
21,16,Arnd Peiffer,Germany,1:08,3 (0+0+2+1),34:39.8,+2:04.3,InFDz
22,23,Andreas Birnbacher,Germany,1:25,3 (0+1+1+1),34:41.7,+2:06.2,dCHkCkg
23,34,Simon Fourcade,France,1:42,3 (0+3+0+0),34:51.1,+2:15.6,bRPYbCbb
24,21,Klemen Bauer,Slovenia,1:16,4 (1+0+3+0),34:55.4,+2:19.9,luMrzOaR
25,26,Christian De Lorenzi,Italy,1:30,1 (0+0+0+1),34:57.5,+2:22.0,bFYAj
26,20,Jean-Guillaume Béatrix,France,1:15,4 (0+1+2+1),34:58.4,+2:22.9,QXeIQQ
27,33,Daniel Mesotitsch,Austria,1:39,3 (0+0+2+1),34:58.7,+2:23.2,xknwR
28,19,Evgeniy Garanichev,Russia,1:14,5 (2+0+2+1),35:04.2,+2:28.7,wBUMw
29,30,Matej Kazár,Slovakia,1:36,5 (2+1+1+1),35:04.9,+2:29.4,cAjAMT
30,17,Andriy Deryzemlya,Ukraine,1:13,4 (0+0+2+2),35:05.3,+2:29.8,gKycte
