Rank,Bib,Name,Nationality,Start,Penalties (P+P+S+S),Time,Deficit
41,60,Christian Martinelli,Italy,2:36,2 (1+0+0+1),36:53.0,+4:17.5
42,27,Jaroslav Soukup,Czech Republic,1:32,6 (2+2+2+0),36:59.8,+4:24.3
43,53,Leif Nordgren,United States,2:19,6 (2+2+2+0),37:08.3,+4:32.8
44,56,Hidenori Isa,Japan,2:27,2 (0+0+0+2),37:13.9,+4:38.4
45,41,Serhiy Semenov,Ukraine,1:55,5 (3+1+1+0),37:14.0,+4:38.5
46,24,Zdeněk Vítek,Czech Republic,1:25,7 (2+2+1+2),37:21.0,+4:45.5
47,49,Milanko Petrović,Serbia,2:14,6 (2+2+2+0),37:26.6,+4:51.1
48,31,Kauri Kõiv,Estonia,1:37,6 (2+1+2+1),37:29.9,+4:54.4
49,47,Yan Savitskiy,Kazakhstan,2:11,5 (2+2+0+1),37:51.8,+5:16.3
50,45,Scott Gow,Canada,2:06,5 (0+0+1+4),37:57.4,+5:21.9
