Rank,Bib,Name,Nationality,Start,Penalties (P+P+S+S),Time,Deficit,Irrelevant_1
11,14,Lukas Hofer,Italy,0:57,2 (0+2+0+0),33:28.8,+53.3,u61SZ
12,10,Simon Eder,Austria,0:39,3 (0+0+2+1),33:50.5,+1:15.0,56lAhpx
13,32,Lowell Bailey,United States,1:38,0 (0+0+0+0),33:56.4,+1:20.9,PwAmGDOn
14,12,Erik Lesser,Germany,0:49,4 (1+0+2+1),34:06.0,+1:30.5,HNsoHa
15,36,Jean-Philippe Leguellec,Canada,1:45,1 (0+0+0+1),34:08.7,+1:33.2,z1KvN
16,9,Evgeny Ustyugov,Russia,0:38,3 (0+1+2+0),34:16.7,+1:41.2,Eg3pd
17,18,Tarjei Bø,Norway,1:14,3 (2+0+1+0),34:18.9,+1:43.4,jzZWBqyF
18,29,Simon Schempp,Germany,1:36,1 (0+0+0+1),34:24.4,+1:48.9,02YWA0H
19,11,Krasimir Anev,Bulgaria,0:48,2 (0+1+0+1),34:24.7,+1:49.2,0ptLucy
20,37,Henrik L'Abee-Lund,Norway,1:45,1 (0+0+0+1),34:36.1,+2:00.6,KyMZrMX
