Rank,Bib,Name,Nationality,Start,Penalties (P+P+S+S),Time,Deficit,Filler_1
,1,Emil Hegle Svendsen,Norway,0:00,1 (0+0+0+1),32:35.5,,ZJaXSz
,2,Martin Fourcade,France,0:08,2 (0+1+1+0),32:35.6,+0.1,MeHnWJVz
,7,Anton Shipulin,Russia,0:33,1 (0+0+1+0),32:39.1,+3.6,RZUNH
4,5,Dmitry Malyshko,Russia,0:23,0 (0+0+0+0),32:40.9,+5.4,MDuYNKN
5,15,Dominik Landertinger,Austria,0:58,0 (0+0+0+0),32:55.9,+20.4,lAkhs
6,3,Jakov Fak,Slovenia,0:11,1 (0+0+0+1),33:05.2,+29.7,tlhEdPMa
7,8,Fredrik Lindström,Sweden,0:38,1 (0+0+1+0),33:18.9,+43.4,xLUWXD
8,6,Alexis Bœuf,France,0:25,2 (0+0+2+0),33:22.1,+46.6,rYvygd
9,13,Björn Ferry,Sweden,0:52,0 (0+0+0+0),33:23.6,+48.1,VReWrO
10,4,Ole Einar Bjørndalen,Norway,0:20,4 (2+0+1+1),33:27.0,+51.5,uEqWUV
