Metropolitan area,Country,Rank,Forstall2003 est.,Official population,Year
Madrid,Spain,,,"6,387,824",2012
Manila,Philippines,11,"16,300,000","11,855,975",2010
Mexico City,Mexico,3,"20,450,000","20,116,842",2010
Miami,United States,,,"5,762,717",2012
Moscow,Russia,15,"15,000,000","17,000,000",
Mumbai,India,5,"19,200,000","20,748,395",2011
Nagoya,Japan,,,"9,107,000",2010
New York,United States,4,"19,750,000","19,831,858",2012
Osaka-Kobe-Kyoto (Keihanshin),Japan,9,"17,375,000","19,342,000",2010
Paris,France,,,"12,223,100",2010
Philadelphia,United States,,,"6,018,800",2012
