Metropolitan area,Country,Rank,Forstall2003 est.,Official population,Year
Dallas–Fort Worth,United States,,,"6,700,991",2012
Delhi,India,8,"18,600,000","21,753,486",2011
Dhaka,Bangladesh,,,"12,797,394",2008
Houston,United States,,,"6,177,035",2012
Hyderabad,India,,,"7,749,334",2011
İstanbul,Turkey,,,"14,160,467",2014
Jakarta,Indonesia,6,"18,900,000","28,019,545",2010
Karachi,Pakistan,20,"11,800,000",,
Kolkata,India,14,"15,100,000","14,617,882",2011
Lima,Peru,,,"9,735,587",2014
London,United Kingdom,18,"12,875,000","13,614,409",2012
Los Angeles,United States,13,"15,250,000","13,052,921",2012
