Metropolitan area,Country,Rank,Forstall2003 est.,Official population,Year,Noise_Field_1
Ahmedabad,India,,,"6,352,254",2011,hPFqiaJL
Atlanta,United States,,,"5,457,831",2012,YGpxyC
Bangalore,India,,,"8,728,906",2011,CBvqWClG
Barcelona,Spain,,,"5,357,422",2012,BatpW
Belo Horizonte,Brazil,,,"5,504,635",2012,YJkjAQ
Beijing,China,19,"12,500,000",,,poCoeLNr
Berlin,Germany,,,"5,097,712",2012,lrVjrqr
Bogotá,Colombia,,,"9,023,644",2014,XFXWLuH
Buenos Aires,Argentina,17,"13,170,000","12,801,364",2010,ElUWRlH
Cairo,Egypt,16,"14,450,000",,,OVZRaowh
Chennai,India,,,"8,917,749",2011,gCqfdNOf
Chicago,United States,,"9,175,000","9,522,434",2012,nsXExmq
