Artist,Song,Soundtrack,Episode(s),Notes
Poison,"\Every Rose Has Its Thorn\""""",—,2.19,
Poster Children,"\Western Springs\""""",—,2.10,
The Presets,"\Girl and the Sea\""""",—,3.18,
Preston School of Industry,"\Caught in the Rain\""""",—,1.20,
The Prodigy,"\Hot Ride\""""",—,2.24,
Psapp,"\Rear Moth\""""",—,2.12,
Puddle of Mudd,"\Away from Me\""""",—,1.16,
R.E.M.,"\Talk About the Passion\""""",—,4.13,
Rachael Yamagata,"\Reason Why\""""",—,2.11,
Rachael Yamagata,"\Worn Me Down\""""",—,2.03,
Radio 4,"\Start a Fire\""""",—,1.22,
Radiohead,"\Fog (Again)\""""",—,3.20,
Radiohead,"\Like Spinning Plates\""""",—,4.15,
The Rakes,"\Retreat\""""",—,3.12,
Ranchera All Stars,"\De Un Mundo Raro\""""",—,4.04,
Ranchera All Stars,"\Ella\""""",—,4.04,
Ranchera All Stars,"\Pa Todo El Ano\""""",—,4.04,
Ranchera All Stars,"\Siempre Hace Frio\""""",—,4.04,
Ranchera All Stars,"\Tu Solo\""""",—,4.04,
The Raveonettes,"\The Christmas Song\""""",Mix 3,3.10,
The Reindeer Section,"\Cartwheels\""""",Mix 4,2.11,
Richard Hayman and his Orchestra,"\Autumn Leaves\""""",—,1.24,
Rilo Kiley,"\Portions for Foxes\""""",—,2.10,
Ringside,"\Strangerman\""""",—,2.10,
Rithma,"\Opium Dreams\""""",—,3.07,
Rob Zombie,"\Foxy Foxy\""""",—,3.21,
Robbers on High Street,"\Love Underground\""""",—,2.21,
Rock Kills Kid,"\Hide Away\""""",—,3.14,
Rock Kills Kid,"\I Turn My Camera On\"" (Spoon cover)""",Mix 6,4.15,
Rockers Hi Fi,"\Going Under\""""",—,1.07,
Rocky Votolato,"\White Daisy Passing\""""",—,3.15,
The Rogers Sisters,"\Freight Elevator\""""",—,2.22,
Rogue Wave,"\California\"" (Phantom Planet cover)""",—,3.11,
Rogue Wave,"\Debaser\"" (Pixies cover)""",Mix 6,4.14,
Rogue Wave,"\Interruptions\""""",—,3.07,
Rogue Wave,"\Publish My Love\""""",Mix 5,3.06,
Ron Sexsmith,"\Maybe this Christmas\""""",Mix 3,"1.13, 2.06",
Rooney,"\Blueside\""""",—,1.15,
Rooney,"\I'm a Terrible Person\""""",—,1.02,
Rooney,"\I'm Shakin'\""""",—,1.15,
Rooney,"\Merry Xmas Everybody\"" (Slade cover)""",Mix 3,—,
Rooney,"\Popstars\""""",—,1.15,
Rooney,"\Sorry Sorry\""""",—,1.15,
The Roots,"\Rolling with Heat\"" (feat. Talib Kweli)""",—,1.05,
Röyksopp,"\Triumphant\""""",—,3.04,
Rufus Wainwright,"\California\""""",—,1.02,
The Runaways,"\Cherry Bomb\""""",—,3.24,
The Runaways,"\Wait for Me\""""",—,1.06,
Ryan Adams and The Cardinals,"\Friends\""""",—,2.24,
Ryan Adams,"\Wonderwall\"" (Oasis cover)""",—,1.19,
Ryan Adams,"\Nightbirds\""""",—,3.22,
Sam Prekop,"\C + F\""""",—,2.15,
Sam Roberts,"\The Bootleg Saint\""""",—,4.01,
Sam Roberts,"\No Sleep\""""",—,2.13,
Sandy Cohen,"\Don't Give Up On Me\""""",—,2.08,
Sandy Cohen,\She's No Lady," She's My Wife\""""",—,2.08
Scissors For Lefty,"\Next to Argyle\""""",—,3.18,
Scorpions,"\Rock You Like a Hurricane\""""",—,2.16,
Scotland Yard Gospel Choir,"\That's All I Need\""""",—,3.20,
Shady Lady,"\We're Going Out Tonight\""""",—,1.02,
Si Zentner,"\Desafinado\""""",—,4.08,
