Artist,Song,Soundtrack,Episode(s),Notes
The 88,"\Hard to Be You\""""",—,3.09,
The 88,"\Hide Another Mistake\""""",—,3.01,
The 88,"\How Good Can It Be\""""",Mix 1,"1.09, 1.22",
A.C. Newman,"\On the Table\""""",Mix 4,2.03,
Aaron D,"\In Your Eyes\""""",—,1.02,
Air,"\La Femme D'argent\""""",—,1.08,
Air,"\Universal Traveler\""""",—,2.13,
Alan Paul,"\Adios\""""",—,2.21,
The Album Leaf,"\Another Day\""""",—,2.12,
The Album Leaf,"\Eastern Glow\""""",Mix 2,2.01,
The Album Leaf,"\On Your Way\""""",—,2.04,
The Album Leaf,"\The Outer Banks\""""",—,2.12,
The Album Leaf,"\TwentyTwoFourteen\""""",—,"2.22, 2.24",
The Album Leaf,"\Streamside\""""",—,2.12,
Alexi Murdoch,"\All My Days\""""",—,4.03,
Alexi Murdoch,"\Orange Sky\""""",Mix 1,"1.11, 1.27",
Alkaline Trio,"\We've Had Enough\""""",—,1.14,
The All-American Rejects,\Swing," Swing\""""",—,1.01
All Sad Girls are Beautiful,"\Baby Blue\"" (Badfinger cover)""",—,3.03,
Ambulance LTD,"\Primitive (The Way I Treat You)\""""",—,2.04,
Anna & Summer,"\Thank You for Being a Friend\""""",—,1.15,
The Androids,"\Do It with Madonna\""""",—,1.02,
APM,"\Back To Ours\""""",—,3.12,
APM,"\Dreidel Dreidel Dreidel\""""",—,3.10,
APM,"\Here Comes the Bride\""""",—,1.27,
APM,"\God Rest Ye Merry Gentlemen\""""",—,3.10,
APM,"\Silent Night\""""",—,3.10,
April March,"\Garcon Glacon\""""",—,4.11,
Aqualung,"\Gentle\""""",—,1.23,
Aqualung,"\Strange and Beautiful (I'll Put a Spell on You)\""""",—,1.10,
Aqualung,"\Take Me Home\""""",—,1.23,
Aqueduct,"\Hardcore Days & Softcore Nights\""""",Mix 4,2.09,
Arkarna,"\House on Fire\""""",—,2.20,
Army Navy,"\Snakes of Hawaii\""""",—,2.16,
Arthur Yoria,"\Call Me\""""",—,2.17,
Ash,"\Burn Baby Burn\""""",—,1.15,
Ashtar Command,"\Into Dust\"" (Mazzy Star cover)""",Mix 6,4.07,
Athlete,"\Tourist\""""",—,2.12,
Audible,"\Sound Makes a Circle\""""",—,2.20,
Azure Ray,"\New Resolution\""""",—,1.18,
Band of Horses,"\The End's Not Near\"" (The New Year cover)""",Mix 6,4.02,
Banda Jerez,"\La Chirriona\""""",—,4.02,
Bang Gang,"\Follow\""""",—,2.12,
B.A.S.K.O.,"\Ain't No Game\""""",—,3.04,
Beastie Boys,"\Ch-Check It Out\""""",—,1.26,
Beat Phreaks,"\Mi Casa\""""",—,2.19,
Bebel Gilberto,"\Winter\""""",—,3.12,
Beck,"\E-Pro\""""",—,2.15,
Beck,"\Girl\""""",—,2.15,
Beck,"\Missing\""""",—,2.15,
Beck,"\Qué Onda Guero\""""",—,2.15,
Beck,"\Scarecrow\""""",Mix 4,2.15,
Beck,"\True Love Will Find You in the End\"" (Daniel Johnston cover)""",—,2.15,
Belle & Sebastian,"\If She Wants Me\""""",—,1.12,
Belle & Sebastian,"\Song for Sunshine\""""",—,4.01,
Bell X1,\Eve," the Apple of My Eye\""""",Mix 4,2.12
Bell X1,"\In Every Sunflower\""""",—,2.14,
Ben Gidsoy,"\Need Music\""""",—,4.05,
Ben Harper,"\Waiting For You\""""",—,3.21,
Ben Kweller,"\Rock of Ages\""""",Mix 3,—,
The Beta Band,"\Assessment\""""",—,2.03,
Bettie Serveert,"\Lover I Don't Have to Love\"" (Bright Eyes cover)""",—,3.18,
