Artist,Song,Soundtrack,Episode(s),Notes
The Thrills,"\Big Sur\""""",Mix 2,1.17,
The Thrills,"\The Curse of Comfort\""""",—,2.09,
The Thrills,"\Faded Beauty Queens\""""",—,2.03,
The Thrills,"\Not For All the Love in the World\""""",—,2.09,
The Thrills,"\Saturday Night\""""",—,2.09,
T.I.,"\Bring 'Em Out\""""",—,2.21,
Tiger Lou,"\Warmth\""""",—,2.10,
Timo Maas,"\To Get Down\""""",—,1.22,
Tom Jones,"\It's Not Unusual\""""",—,1.16,
Tom Petty and the Heartbreakers,"\Christmas All Over Again\""""",—,3.10,
Tom Quick,"\Butterfly\""""",—,4.05,
Tom Quick,"\Honey Dew\""""",—,2.09,
Tom Vek,"\I Ain't Sayin' My Goodbyes\""""",—,3.16,
Tom Vek,"\C-C (You Set The Fire In Me)\""""",—,3.16,
Transplants,"\Gangsters and Thugs\""""",—,3.03,
Trent Dabbs,"\The Love Goes\""""",—,"2.04, 2.12",
Trespassers William,"\Alone\""""",—,1.21,
Trespassers William,"\Different Stars\""""",—,1.11,
Tricky,"\Hollow\""""",—,1.06,
Tricky,"\How High\""""",—,1.26,
True Love,"\The Crime\""""",—,3.20,
Tunng,"\It's Because... We've Got Hair\""""",—,4.09,
Tunng,"\Pioneers\"" (Bloc Party cover)""",—,3.24,
Turin Brakes,"\Rain City\""""",Mix 1,1.03,
Turin Brakes,"\Self-Help\""""",—,1.18,
Two Hours Traffic,"\Leave Me Alone\""""",—,3.22,
U2,"\Sometimes You Can't Make It On Your Own\""""",—,2.04,
Underoath,"\A Boy Brushed Red...Living in Black and White\""""",—,3.12,
User,"\Do You\""""",—,1.06,
The Vacation,"\Make Up Your Mind\""""",—,1.14,
Van McCoy,"\Hustle\""""",—,2.06,
The Ventures,"\Santa Claus is Coming to Town\""""",—,1.13,
Victor Malloy,"\A Night in Vegas\""""",—,3.19,
Village People,"\Y.M.C.A.\""""",—,3.10,
The Vines,"\Anysound\""""",—,3.21,
The Vines,"\Ride\""""",—,1.22,
The Vines,"\Spaceship\""""",—,3.24,
Viva Voce,"\Lesson No. 1\""""",—,2.13,
Walking Concert,"\Hands Up!\""""",—,2.10,
The Walkmen,"\Little House of Savages\""""",Mix 2,2.03,
The Walkmen,"\What's In It For Me?\""""",—,2.03,
Way Out West,"\Melt\""""",—,2.19,
We Are Scientists,"\Inaction\""""",—,3.18,
The Western States Motel,"\The New E Blues\""""",—,4.11,
Whitesnake,"\Here I Go Again\""""",—,2.19,
Whitey,"\Wrap It Up\""""",—,3.22,
Wilco,"\Panther\""""",—,2.23,
Will Smith,"\Miami\""""",—,2.21,
The Willowz,"\Meet Your Demise\""""",—,1.26,
Wolfmother,"\Woman\""""",—,3.21,
Yellowcard,"\Way Away\""""",—,1.05,
Youth Group,"\Start Today Tomorrow\""""",—,4.13,
Youth Group,"\Daisychains\""""",—,4.06,
Youth Group,"\Forever Young\"" (Alphaville cover)""",Mix 5,"3.04, 3.16",
Youth Group,"\Shadowland\""""",—,2.21,
Zack Hexum,"\Met a Girl Like You Once\""""",—,1.25,
Zero 7,"\Destiny\""""",—,1.14,
Zero 7,"\Pageant of The Bizarre\""""",—,4.04,
Zero 7,"\Passing By\""""",—,1.26,
Zero 7,"\Somersault\""""",—,2.01,
Zero 7,"\Waiting to Die\""""",—,4.05,
