Artist,Song,Soundtrack,Episode(s),Notes,Irrelevant_1,Dummy_Col_2,Noise_Field_3
Finley Quaye & William Orbit,"\Dice\""""",Mix 1,1.14,,h9e5EMu,aVdZbG,szIAYzV
The Fire Theft,"\Summer Time\""""",—,1.19,,MEZCsk,WcdLxg,fxyWbIt
Firstcom,"\Hannukah Lights\""""",—,1.13,,o4bsS,YyPwcv,oYGdBgAU
Firstcom,"\Silent Night\""""",—,"1.13, 3.10",,JFIanq,QioSw,uQMSUqtk
Firstcom,"\Silent Night On The Prairie\""""",—,3.10,,9tJeQ9T,fcgXJ,RGBppK
Firstcom,"\We Wish You a Merry Christmas\""""",—,1.13,,Zce94,lTTHoWzK,OITpMF
The Flaming Sideburns,"\Flowers\""""",—,1.14,,uMoSx9z,zwHzGNxE,rHnVR
Flunk,"\Play\""""",Mix 4,"2.09, 2.18",,VesLdy,Sjdil,LGYPL
Fountains of Wayne,"\All Kinds of Time\""""",—,1.05,,xBTNsf,QWINa,npRXylB
Francine,"\Albany Brownout\""""",—,3.11,,MRhDe,lElteimh,MZBGZ
Frank Chacksfield,"\Theme From Picnic (Moonglow)\""""",—,4.13,,bXncMHc,bxzHN,tUBaRG
Franz Ferdinand,"\Do You Want To\""""",—,3.02,,uXlX3WQ,mJPjzi,AigkJPsk
Franz Ferdinand,"\Jacqueline\""""",—,1.26,,gAUVa,AkBVOYq,cNibOVQ
Frausdots,"\Soft Light\""""",—,2.05,,QOjRh,yfwWvG,RxNCkBj
Fredo Viola,"\The Sad Song\""""",—,"4.14, 4.15",,N4iUvUa,vYYzfH,sNuOc
The Funky Lowlives,"\Sail Into the Sun\""""",—,3.12,,G4XAM,lKgnIsqL,RqBDHj
The Futureheads,"\Decent Days and Nights\""""",Mix 4,2.19,,iq3ijemA,qdogiLLO,EkOXI
The Futureheads,"\Meantime\""""",—,2.16,,8gflNYL,hQzLTq,OGnFpB
Gang of Four,"\I Love a Man in Uniform\""""",—,3.11,,hCzqVoH,TjUpIUNp,OmctnCD
The Go Find,"\Summer Quest\""""",—,2.11,,LvP4kYW2,LjogUnIU,ZzXvhNMz
George Jones,"\A Picture of Me (Without You)\""""",—,3.21,,erUYjJ,oPZEGJF,xYMJUe
Get Cape. Wear Cape. Fly,"\I Spy\""""",—,4.10,,a6krPtN,rAUyH,NhwhSh
Get Cape. Wear Cape. Fly,"\Once More With Feeling\""""",—,4.03,,hekfXGHL,GbHpHtz,gyrdomPl
Giuseppe Verdi,"\Questa o Quella\""""",—,2.21,,6LDngyyJ,ThISaZt,otJror
Goldspot,"\Time Bomb\""""",—,3.12,,fZGTxh,xFZFf,iuRnHXIJ
Goldspot,"\Float On\"" (Modest Mouse cover)""",Mix 6,4.05,,GdqA3vmS,hXGwGr,sGQjR
Gomez,"\Silence\""""",—,2.04,,uOgScmI7,NzBGptWP,NfpZR
Gordon Jenkins,"\Caravan\""""",—,1.11,,RWJFZyS,SwEtqbK,rEDdv
Gorillaz,"\El Mañana\""""",—,2.24,,bAczyy1,RmrfyTri,nraQoBv
Gorillaz,"\Kids With Guns\""""",Mix 5,2.21,,MQCFAbe1,cpKCRour,dqdCRLD
Grade 8,"\Brick by Brick\""""",—,1.05,,rmzir1bu,mnguP,UGNipQ
The Grand Skeem,"\Eya Eya Oy\""""",—,1.03,,tKvFoQn,rPHqSSNX,nwnSj
The Grand Skeem,"\Rock Like This\""""",—,1.03,,YMOP8dDV,DZsoyEJw,zBdcwNt
The Grand Skeem,"\Sucka MCs\""""",—,1.03,,FGH78az,DlWnTo,WjikfRwP
Guster,"\Brand New Delhi\""""",—,2.06,,XjCLAxS,DSPEOEl,gohqBvxw
Guster,"\Carol of the Meows\""""",—,2.06,,214HKnWz,ZmVOXchy,RpQjwRFJ
Guster,"\I Love A Man In Uniform\""""",—,2.06,,U3iYe,XAoJhH,iaOKR
Guster,"\I Only Have Eyes For You\""""",—,2.06,,VohpE,DQcHKBM,eMpHvdH
