Artist,Song,Soundtrack,Episode(s),Notes
Lady Sovereign,"\Pretty Vacant\"" (Sex Pistols cover)""",Mix 6,—,
Lady Sovereign,"\Love Me or Hate Me\""""",—,4.04,
Lady Sovereign,"\Random\""""",—,3.23,
Ladytron,"\Sugar\""""",—,3.06,
Lali Puna,"\Faking the Books\""""",—,2.13,
Laptop,"\Ratso Rizzo\""""",—,1.14,
Laptop,"\Want In\""""",—,1.15,
LCD Soundsystem,"\Daft Punk is Playing at My House\""""",Mix 5,2.19,
LCD Soundsystem,"\Too Much Love\""""",—,2.17,
Leaves,"\Breathe\""""",—,1.10,
Leona Naess,"\Christmas\""""",Mix 3,2.06,
Leona Naess,"\Lazy Days\""""",—,1.04,
Less Than Jake,"\The Science of Selling Yourself Short\""""",—,1.03,[citation needed]
Le Tigre,"\TKO\""""",—,2.15,
Living Things,"\Bom Bom Bom\""""",—,3.16,
Liz Phair,"\Why Can't I?\""""",—,1.04,
Lockdown Project,"\Can You Feel It?\""""",—,4.02,
The Long Winters,"\Christmas With You Is Best\""""",Mix 3,—,
The Long Winters,"\The Commander Thinks Aloud\""""",—,4.09,
The Long Winters,\Fire Island," AK\""""",—,4.02
Los Cubaztecas,"\La Conga De Santiago\""""",—,1.07,
Los Cubaztecas,"\Ritmo De Oro\""""",—,1.07,
Lou Barlow,"\Legendary\""""",—,2.18,
Louis XIV,"\God Killed the Queen\""""",—,2.14,
Love As Laughter,"\Dirty Lives\""""",—,2.23,
Love of Diagrams,"\No Way Out\""""",—,3.08,
Low,"\Just Like Christmas\""""",Mix 3,—,
The Low Standards,"\Du Temps\""""",—,4.11,
The Low Standards,"\Every Little Thing\""""",—,4.10,
Luce,"\Good Day\""""",—,1.07,
Luther Russell,"\When You're Gone\""""",—,3.19,
The M's,"\Come Into Our Room\"" (Clinic cover)""",Mix 6,—,
The M's,"\Plan Of The Man\""""",—,"3.01, 3.17",
Magnet,"\Dancing in the Moonlight\""""",—,3.11,
Magnet feat. Gemma Hayes,"\Lay Lady Lay\""""",—,2.05,
Manishevitz,"\Beretta\""""",—,3.01,
Manu Chao,"\Lágrimas De Oro\""""",—,4.02,
Marc Durst Trio,"\Night Groove\""""",—,2.21,
Mark Lanegan Band,"\Strange Religion\""""",—,2.09,
Mark Vieha,"\Way To Go\""""",—,3.01,
Martina Topley Bird,"\I Only Have Eyes For You\""""",—,3.13,
Martina Topley Bird,"\Soulfood\"" (Charles Webster's Banging House Dub)""",—,2.07,
Martin Denny,"\Love Dance\""""",—,1.16,
Martin Denny,"\Quiet Village\""""",—,1.16,
Mascott,"\Turn Off/Turn On\""""",—,2.05,
Mastersource,"\Dreamtime\""""",—,1.19,
Mastersource,"\Watching the Game at Joes\""""",—,1.18,
Mastersource,"\Something For You\""""",—,1.21,
Mastersource,"\Walkin' the Walk\""""",—,1.21,
Mates of State,"\California\"" (Phantom Planet cover)""",Mix 6,4.07,
Matt Pond PA,"\Champagne Supernova\"" (Oasis cover)""",Mix 4,2.14,
Matt Pond PA,"\In the Aeroplane Over the Sea\"" (Neutral Milk Hotel cover)""",—,3.03,
Matt Pond PA,"\New Hampshire\""""",—,2.08,
Maximum Roach,"\Let it Roll\""""",—,1.01,
Mazzy Star,"\Into Dust\""""",—,"1.01, 1.07",
M. Craft,"\Love Knows How to Fight\""""",—,3.14,
M. Craft,"\Somewhere in Between\""""",—,4.09,
M. Craft,"\Sweets\""""",—,2.11,
Mellowman Ace,"\Latinos Mundial\""""",—,1.11,
M.I.A.,"\Fire Fire\""""",—,3.04,
The Midway State,"\Unaware\""""",—,4.13,
Minibar,"\Breathe Easy\""""",—,1.11,
