Artist,Song,Soundtrack,Episode(s),Notes
Clinic,"\The New Seeker\""""",—,4.16,
Cobra Verde,"\Get the Party Started\""""",—,3.02,
Cobra Verde,"\Waiting For a Girl Like You\""""",—,3.17,
Coconut Records,"\West Coast\""""",—,4.10,
Coldplay,"\Fix You\""""",—,2.23,
Commuter,"\Chapters\""""",—,3.25,
Cooler Kids,"\All Around the World\""""",—,1.01,
Crash My Model Car,"\In Dreams\""""",—,3.17,
The Cribs,"\Hey Scenesters!\""""",—,2.22,
The Crystal Method,"\Born Too Slow\""""",—,1.22,
Daft Punk,"\Technologic\""""",—,2.19,
Damien Jurado,"\What Were the Chances\""""",—,4.14,
Damien Rice,"\Cannonball\""""",—,1.17,
The Dandy Warhols,"\Holding Me Up\""""",—,3.05,
The Dandy Warhols,"\We Used to Be Friends\""""",Mix 1,1.12,
The Dandy Warhols,"\(You Come In) Burned\""""",—,1.13,
David Poe,"\Doxology\""""",—,3.10,
The Dead 60s,"\You're Not the Law\""""",—,2.24,
Death Cab for Cutie,"\A Lack of Color\""""",Mix 2,1.21,
Death Cab for Cutie,"\A Movie Script Ending\""""",—,"1.07, 2.20",
Death Cab for Cutie,"\Soul Meets Body\""""",—,3.02,
Death Cab for Cutie,"\The Sound of Settling\""""",—,2.20,
Death Cab for Cutie,"\Title and Registration\""""",—,2.20,
The Delgados,"\Everybody Come Down\""""",—,2.11,
Descemer,"\Pa' Arriba\""""",—,4.02,
Diefenbach,"\Favourite Friend\""""",—,3.13,
Digby Jones,"\Under the Sea\""""",—,"3.16, 4.05, 4.06",
Dionne Warwick and Friends,"\That's What Friends Are For\""""",—,3.10,
Dios Malos,"\Everyday\""""",—,3.08,
Dios Malos,"\You Got Me All Wrong\""""",Mix 2,2.01,
Dirty Pretty Things,"\Deadwood\""""",—,4.06,
Dirty Vegas,"\Closer\""""",—,2.05,
Dogzilla,"\Dogzilla\""""",—,4.08,
Dopo Yume,"\The Secret Show\""""",—,3.20,
Doves,"\Caught by the River\""""",Mix 1,1.02,
Dropkick Murphys,"\Walk Away\""""",—,1.14,
Eagles of Death Metal,"\Flames Go Higher\""""",—,3.24,
Eagles of Death Metal,"\I Only Want You\""""",—,2.17,
Earlimart,"\We Drink on the Job\""""",—,1.11,
Eartha Kitt,"\Santa Baby\""""",—,1.13,
Editors,"\Orange Crush\"" (R.E.M. cover)""",—,4.04,
Eberg,"\Inside Your Head\""""",—,4.06,
Eels,"\Christmas is Going to the Dogs\""""",Mix 3,2.06,
Eels,"\Love of the Loveless\""""",—,1.18,
Eels,"\Saturday Morning\""""",Mix 2,1.15,
Efterklang,"\Step Aside\""""",—,2.21,
Electrelane,"\On Parade\""""",—,1.26,
Electric President,"\Insomnia\""""",—,3.13,
Electric President,"\Grand Machine #12\""""",—,3.15,
Elefant,"\Ester\""""",—,2.02,
Elliott Smith,"\Pretty (Ugly Before)\""""",—,2.10,
Elliott Smith,"\Twilight\""""",—,2.07,
Elvis Perkins,"\While You Were Sleeping\""""",—,4.05,
Embrace,"\I Can't Come Down\""""",—,3.23,
Enrique Iglesias,"\Addicted\""""",—,1.16,
Evermore,"\It's Too Late\""""",Mix 2,—,
The Explorers Club,"\Forever\""""",—,4.09,
The Faders,"\Disco Church\""""",—,1.06,
The Faint,"\Desperate Guys\""""",—,2.05,
Feeder,"\Frequency\""""",—,2.16,
Feist,"\Let It Die\""""",—,2.05,
Fine China,"\My Worst Nightmare\""""",—,3.09,
