Artist,Song,Soundtrack,Episode(s),Notes,Random_Column_1,Irrelevant_2
Mocean Worker,"\Right Now\""""",—,1.25,,Fntqe,VmwOs2
Modest Mouse,"\Float On\""""",—,1.23,,NEspSw,gk7Ap
Modest Mouse,"\Paper Thin Walls\""""",—,2.07,,Eachzf,1mnly
Modest Mouse,"\The View\""""",Mix 4,2.07,,ovF9jk,2XHrRfio
Modest Mouse,"\The World at Large\""""",—,2.07,,8B57OE0,TZJbXjZB
Mojave 3,"\Bill Oddity\""""",—,1.19,,jQmh8DOn,Vl9PEH4
Mojave 3,"\Bluebird of Happiness\""""",—,1.20,,lhiJZP,KTNofE
Mojave 3,"\Breaking the Ice\""""",—,3.25,,fIzxc,qt7eHQ
Mosquitos,"\Boombox\""""",—,1.17,,hOaGMyF9,ri2mDNw
Mosquitos,"\Domesticada\""""",—,2.04,,uBFsg,PwfnN9
Ms. John Soda,"\Hands\""""",—,3.22,,4HkQWIuz,akcjanee
My Pet Genius,"\Rae\""""",—,2.23,,nYrTiR8,wINXY8aJ
The Murmurs,"\Big Talker\""""",—,2.15,,CP1RgbB,i6jsR
Nada Surf,"\If You Leave\"" (Orchestral Manoeuvres in the Dark cover)""",Mix 2,1.21,,K7FTk,3TbDbl
The National Trust,"\It's Just Cruel\""""",—,3.18,,zolTs,tiizS
The New Amsterdams,"\The Spoils of the Spoiled\""""",—,1.17,,ZEZnN,lgV8N
The New Pornographers,"\The New Face Of Zero And One\""""",—,2.04,,qErFZNMF,1cYPPfO
The New Year,"\The End's Not Near\""""",—,2.02,,hmW7L,eGlApV
Nikka Costa,"\On and On\""""",—,3.09,,Ntvob8s,vH7sB
Nine Black Alps,"\Unsatisfied\""""",—,3.08,,Kwj8N,beZqNP3j
The Obscurities,"\Stop Dragging Me Down\""""",—,2.19,,vyR8vKrL,kgVpSjX
Oceansize,"\Meredith\""""",—,3.19,,DsWiaD,8kmvdtv
Of Montreal,"\Requiem for O.M.M.\""""",Mix 5,—,,XJt5EO,CAdkB
Of Montreal,"\Gronlandic Edit\""""",—,4.12,,h1DKPJO,Bx3IcKy
Of Montreal,"\Party's Crashing Us\""""",—,"2.19, 2.22",,uYyewn,tcTQh
Ohio Players,"\Fire\""""",—,1.26,,34kWl,5rZm2uH
OK Go,"\You're So Damn Hot\""""",—,1.06,,QzkZZCo,DKgsJ
Olympic Hopefuls,"\Let's Go!\""""",—,2.07,,WsNvR,Ruiyrhsv
Orange,"\No Rest for the Weekend\""""",—,3.06,,mDE1ozSU,QxKd9L3
Orenda Fink,"\Blind Asylum\""""",—,3.05,,umA0skO,DYdFW
Orquestra Del Plata,"\Montserrat\""""",—,1.27,,NfaDm5,t6U9I33c
Pajo,"\High Lonesome Moan\""""",—,4.12,,op9SWjH,dvEWl
Palm Street,"\Break\""""",—,1.06,,1XlZWDf,qqu08cA7
Pansy Division,"\At the Mall\""""",—,2.15,,F0wcs,DUkZFMb
"Paris, Texas","\Like You Like an Arsonist\""""",—,2.17,,NCBwbj,490RYjm
Patrick Park,"\Life's a Song\""""",—,4.16,,PK0Vey,3Ksi1Rf
Patrick Park,"\Something Pretty\""""",Mix 2,1.20,,4TilMi4,FR3cQVMy
The Pattern,"\Selling Submarines\""""",—,1.14,,Y0tZrwk8,58P05ZN
Paul Oakenfold feat. Brittany Murphy,"\Faster Kill Pussycat\""""",—,3.19,,hnV68T,N8P7se
Paul Westerberg,"\Let the Bad Times Roll\""""",—,1.08,,SHMvZbIy,xIRCa3I
Peggy Lee,"\Winter Wonderland\""""",—,1.13,,0vBDrE,nlwHk6q6
Pennywise,"\Knocked Down\""""",—,3.06,,eYpXGQ,iQEi6vwZ
The Perishers,"\Nothing Like You and I\""""",—,2.23,,0EdGa9,EkTFNj
The Perishers,"\Trouble Sleeping\""""",Mix 2,2.02,,rMkfqRo,5T5uL
The Perishers,"\Weekends\""""",—,2.03,,5XfXKJM,Zcw028a
PET,"\No Yes No\""""",—,2.03,,45Jra81,1u1S0EU
Petra Haden & Bill Frisell,"\Yellow\"" (Coldplay cover)""",—,3.08,,cTyrm,weTbKb5o
Phantom Planet,"\California\""""",Mix 1,1.01,,ftAU4a,eXSbwt
Phantom Planet,"\California 2005\""""",Mix 5,3.02,,acu7TFo,KJvYvUO
Phantom Planet,"\Our House\"" (Crosby", Stills," Nash & Young cover)""",—,zg76X,ei44faRH
Phoenix,"\Love For Granted\""""",—,2.23,,S9IBE,mqpdxZA
Phoenix,"\Run Run Run\""""",—,2.05,,Vm27rv,UAztJ
Phontaine,"\Sour Milk\""""",—,3.12,,k4jgPN,zjrN3P
Pinback,"\AFK\""""",—,2.16,,OsS5GS4,QSCaEHAR
Pinback,"\Fortress\""""",Mix 4,2.04,,7In9e,Evsgg
Pinback,"\Non-Photo Blue\""""",—,2.12,,Ha08DFj,TxA3L
Pinback,"\Wasted\"" (Black Flag cover)""",Mix 6,—,,K7OHzS,tEJTaN
Pixies,"\Debaser\""""",—,2.16,,FxNvoIR,69ycF
Placebo,"\Running Up that Hill\"" (Kate Bush cover)""",—,4.01,,wWz3LvBR,zJhHi
Plastilina Mosh,"\Quiero Mi Pastilla\""""",—,4.02,,7Aw6GG,Zkqfq
The Plus Ones,"\All the Boys\""""",—,1.22,,dL7CB,MzeKXgK
The Pogues,"\Love You 'Till The End\""""",—,4.04,,XZwar7tm,hSTvK
