Artist,Song,Soundtrack,Episode(s),Notes
Sia,"\The Bully\""""",—,2.11,
Sia,"\Paranoid Android\"" (Radiohead cover)""",—,4.07,
Secret Machines,"\Road Leads Where It's Led\""""",—,1.22,
Senza,"\Cava Del Rio\""""",—,"2.23, 3.14, 4.04",
She Wants Revenge,"\I Don't Wanna Fall in Love\""""",—,3.04,
The Shins,"\Turn on Me\""""",—,4.10,
Shout Out Louds,"\But Then Again No\""""",—,2.22,
Shout Out Louds,"\Go Sadness\""""",—,3.09,
Shout Out Louds,"\Wish I Was Dead Pt. 2\""""",Mix 5,3.03,
Silversun Pickups,"\Lazy Eye\""""",—,4.12,
Silversun Pickups,"\Rusted Wheel\""""",—,4.15,
Singapore Sling,"\Over Driver\""""",—,1.14,
Slightly Stoopid,"\Sweet Honey\""""",—,1.01,
The Smashing Pumpkins,"\To Sheila\""""",—,1.04,
Soledad Brothers,"\Cage That Tiger\""""",—,2.22,
Solomon Burke,"\Don't Give Up On Me\""""",—,"1.09, 2.08",
Someone Still Loves You Boris Yeltsin,"\Oregon Girl\""""",—,3.23,
Something Corporate,"\Space\""""",—,1.07,
Soul Kid #1,"\More Bounce (In California)\""""",—,1.06,
Soulwax,"\E Talking\""""",—,2.20,
South,"\Nine Lives\""""",—,1.25,
South,"\Paint the Silence\""""",Mix 1,"1.09, 3.17",
Sparklehorse,"\Return To Me\""""",—,4.11,
Spiderbaby,"\Don't Pity Me\""""",—,3.18,
Spoon,"\Sister Jack\""""",—,2.18,
Spoon,"\I Turn My Camera On\""""",—,2.21,
Spoon,"\The Way We Get By\""""",Mix 1,1.05,
Squirrel Nut Zippers,"\Anything But Love\""""",—,1.19,
Stacey Kent,"\A Fine Romance\""""",—,1.10,
Stars,"\The Big Fight\""""",—,2.22,
Stars,"\The Vanishing\""""",—,1.26,
Stars,"\Your Ex-Lover is Dead\""""",Mix 5,2.13,
The Stills,"\The House We Live In\""""",—,4.12,
The Subways,"\I Want to Hear What You Have Got to Say\""""",—,3.07,
The Subways,"\Oh Yeah\""""",—,3.07,
The Subways,"\Rock & Roll Queen\""""",Mix 5,3.07,
Sufjan Stevens,"\Dear Mr. Supercomputer\""""",—,4.11,
Sufjan Stevens,"\To Be Alone With You\""""",Mix 4,2.02,
Sufjan Stevens,\For the Widows in Paradise," for the Fatherless in Ypsilanti\""""",—,3.15
Sufjan Stevens,"\The Incarnation\""""",—,4.15,
The Suicide Machines,"\Did You Ever Get a Feeling of Dread\""""",—,1.14,
Summer Roberts,"\Wannabe\""""",—,4.13,
The Sunshine Underground,"\I Ain't Losing Any Sleep\""""",—,4.10,
Sun Kil Moon,"\Neverending Math Equation\""""",—,3.15,
Sun Kil Moon,"\Tiny Cities Made Of Ashes\""""",—,3.21,
Sunday Runners,"\Faking the Books\""""",—,2.14,[citation needed]
Sunday Runners,"\Memories Left at Sea\""""",—,2.13,
Super Furry Animals,"\Hello Sunshine\""""",Mix 2,1.19,
The Surge,"\Spin Me Around\""""",—,3.19,
Survivor,"\Eye of the Tiger\""""",—,2.21,
Syd Matters,"\Hello Sunshine\"" (Super Furry Animals cover)""",Mix 6,4.04,
Syd Matters,"\To All Of You\""""",—,3.23,
Syntax,"\Pride\""""",—,1.24,
Tally Hall,"\Good Day\""""",—,3.20,
Tally Hall,"\Hidden In The Sand\""""",—,4.11,
Tally Hall,"\Smile Like You Mean It\"" (The Killers cover)""",Mix 6,4.08,
The Talk,"\N.Y.L.A.\""""",—,3.08,
Tangerine Dream,"\Love on a Real Train\""""",—,2.18,
The Tao Of Groove,"\Brand New Dehli\""""",—,3.13,
Temper Temper,"\Trust Me\""""",—,2.20,
Thom Yorke,"\Black Swan\""""",—,4.03,
