Artist,Song,Soundtrack,Episode(s),Notes,Unused_1,Unused_2,Dummy_Col_3
Beulah,"\Popular Mechanics for Lovers\""""",Mix 2,1.15,,,,aaUZEKJd
Billy Squier,"\The Stroke\""""",—,3.09,,,,hoBgfylJ
The Black Eyed Peas,"\Hands Up\""""",—,1.01,,,,FMVgRYD
The Black Eyed Peas,"\Let's Get Retarded\""""",—,1.05,,,,AvaXrbX
Black Flag,"\Wasted\""""",—,3.14,,,,DPUwnhW
The Black Keys,"\10 A.M. Automatic\""""",—,2.10,,,,NILoa
Black Rebel Motorcycle Club,"\Open Invitation\""""",—,3.08,,,,mZueh
Black Rebel Motorcycle Club,"\Salvation\""""",—,3.03,,,,Eoeydts
Black Rebel Motorcycle Club,"\Shuffle Your Feet\""""",—,3.12,,,,TqurmWHh
Black Rebel Motorcycle Club,"\Weight of the World\""""",—,3.05,,,,OuvrGr
Blind Melon,"\No Rain\""""",—,2.14,,,,qQuFWKQQ
Blue Foundation,"\Get Down\""""",—,2.07,,,,rFsgE
Blue Foundation,"\Save this Town\""""",—,2.07,,,,PflNN
Bloc Party,"\Banquet\""""",—,2.18,,,,BVjRfd
Bloc Party,"\Blue Light\"" (Engineers Anti-Gravity Mix)""",—,3.01,,,,WSvsqOTj
Bloc Party,"\I Still Remember\""""",—,4.14,,,,AQfLyHl
Bloc Party,"\Kreuzberg\""""",—,4.15,,,,LajSUJ
Bloc Party,"\Positive Tension\""""",—,2.20,,,,eaMxj
Bloc Party,"\Pioneers\""""",—,3.24,,,,hezfr
The Blood Arm,"\Stay Put\""""",—,4.06,,,,cbdcwg
Bob Mould,"\Circles\""""",—,3.04,,,,yJrcoK
Bob Seger,"\Night Moves\""""",—,"1.19, 1.24",,,,pdjDarg
Boom Bip feat. Nina Nastasia,"\The Matter (of Our Discussion)\""""",—,3.16,,,,nKeJzGI
Boyz II Men,"\End of the Road\""""",—,2.14,,,,kuIqmbg
Brandtson,"\Earthquakes & Sharks\""""",—,3.23,,,,aNcKknh
Bratsound,"\One Day\""""",—,3.23,,,,OKBLOqbA
Brassy,"\Play Some D\""""",—,1.04,,,,UJUdfvnz
The Bravery,"\An Honest Mistake\""""",—,2.24,,,,xuCHlaN
Brendan Benson,"\What I'm Looking For\""""",—,2.16,,,,IIiMul
The Briefs,"\Getting Hit On At The Bank\""""",—,3.23,,,,XDrxwBsf
Bright Eyes,"\Blue Christmas\""""",—,1.13,,,,AoVbvs
Bromheads Jacket,"\What If's And Maybe's\""""",—,3.18,,,,LEUiD
Brooke,"\I Wanna Be Happy\""""",—,1.03,,,,nWOCw
Brookeville,"\Walking on Moonlight\""""",—,1.14,,,,dBidh
Brothers and Sisters,"\Without You\""""",—,4.05,,,,Rbsed
Butch Walker,"\Hot Girls In Good Moods\""""",—,4.06,,,,VxGCdqkz
Buva,"\Should I Know\""""",—,1.15,,,,LrbiyhMt
Calla,"\Swagger\""""",—,3.06,,,,LJtNShxh
Camera Obscura,"\Keep It Clean\""""",—,1.25,,,,ebPVKv
Car 188,"\Bridal March\""""",—,1.27,,,,cWWuPUO
Carmen Rizzo (featuring Kate Havnevik),"\Travel In Time\""""",—,3.07,,,,VyrZH
Casiotone for the Painfully Alone,"\Young Shields\""""",—,3.19,,,,doCXZHa
Catherine Feeny,"\Mr. Blue\""""",—,4.01,,,,VClDdAE
Chad VanGaalen,"\Gubbbish\""""",—,4.05,,,,iPcrTZ
Cham Pain,"\Get Down\""""",—,2.21,,,,QPFvxfJ
Cham Pain,"\Show Me\""""",—,1.01,,,,jEGlh
CHAP 200,"\Silent Night\""""",—,2.06,,,,IGZFka
Charlotte Gainsbourg,"\Tel Que Tu Es\""""",—,4.11,,,,aoiEpak
Chelo,"\Voodoo\""""",—,4.04,,,,rSGmJ
The Chemical Brothers,"\Leave Home\""""",—,4.12,,,,LoniD
The Chemical Brothers,"\Marvo Ging\""""",—,2.18,,,,ntKoVtM
The Chemical Brothers,"\Out of Control\""""",—,1.07,,,,qcXjISNY
Chingy,"\Dem Jeans\""""",—,4.04,,,,AXlQSzy
Chris Holmes,"\China\""""",—,3.20,,,,QDJYGYv
Chris Holmes,"\I Don't Care What My Friends Say\""""",—,3.25,,,,xBNSzL
Chris Murray,"\Heartache\""""",—,1.23,,,,QegilVa
Christina Lux,"\All the Kings Horses\""""",—,1.24,,,,dmjoZkHI
The Church,"\Under the Milky Way\""""",—,2.19,,,,MERkMk
Citizens Here & One Broad,"\Appearances\""""",—,3.05,,,,exGIFLbi
Clearlake,"\Good Clean Fun\"" (nobody remix)""",—,4.06,,,,ZebQBMnR
Client,"\Come On\""""",—,3.09,,,,Nxvnu
Clinic,"\Come Into Our Room\""""",—,1.17,,,,rzGPgJ
