Make/Model,Series,Model,Year,Notes,Unused_1,Noise_Field_2
New Flyer,570-599,D40LF,2003,,,qNUCfH
New Flyer,601-640,D40LFR,2011,601 603 605 Wrap for RT,,ClyMU
New Flyer,671-699,D40,1994,"684 retired, used only during rush hour",,YLoSv
New Flyer,701-733,D40LFR,2008,,,gMumdN
New Flyer,735-799,D40LFR,2009,,,aUVhA
New Flyer,800-829,D40LFR,2013,800-830 now inservice 822 had a fire,,kyVwPo
New Flyer,901-910,Invero/D40i,2004,Ex701-710Only used for rush hour,,RnMCH
New Flyer,911-925,D30LF,1996,All Rebuild,,lwwpM
New Flyer,930-949,D30LF,2001,931 Rebuild,,ErLdlFuf
New Flyer,971-990,D60LF,2003,Ex OCTRANSPO most units are between ex 6302-6338971 973 976 977 979 are now in service,,SlPOYV
New Flyer,991-993,D40LF,1994,"All Rebuilt, used only during rush hour",,naDuNpmm
