Make/Model,Series,Model,Year,Notes
New Flyer,101-135,D40LFR,2010,
New Flyer,140-169,D40LFR,2011,140-143 145-153 155-169 wrap for RT144 and 154 lost there rt wraps
New Flyer,201-230,D40LF,2004,204 Retired Due to Fire
New Flyer,231-260,D40LF,2005,
New Flyer,270-281,D40LF,2007,
MCI,301-334,Classic,1988,all retired
New Flyer,340-366,D40,1992,"365 remains, used only during rush hour"
New Flyer,370-399,D40,1994,"370 371 372 373 374 379 380 390 395? 397 398 399 Retired, used only during rush hour"
New Flyer,401-443,D40LF,1998,all have been rebuilt
New Flyer,444-504,D40LF,1999,all have been rebuilt
New Flyer,510-561,D40LF,2002,being rebuilt510 513 515 516 517 519 520 521 522 529 532 534 536 537 539 540 545
