Date,Opponent,Time,Score,Record,Noise_Field_1,Dummy_Col_2
1/16/2010,Harvard University,4 p.m.,,,RkjbeQRo,knQIm
1/22/2010,Cornell University,3 p.m.,,,GqbaLe,TdEsJTP
1/23/2010,Cornell University,3 p.m.,,,TLYmD,mwYjlk
1/29/2010,Clarkson University,7 p.m.,,,ILeHCGeQ,wKIPII
1/30/2010,St. Lawrence University,4 p.m.,,,lfrcM,VSGzBz
2/5/2010,Princeton University,7 p.m.,,,DlNqIpzZ,DdpLI
2/6/2010,Quinnipiac University,4 p.m.,,,euQfunt,ByaoRGC
2/12/2010,Yale University,7 p.m.,,,ZefcOo,BNUgMnn
2/13/2010,Brown University,4 p.m.,,,VhmyPwH,yhUeTs
2/19/2010,Union College,7 p.m.,2-1,,IhhwDqx,AgdHDV
2/20/2010,Rensselaer,4 p.m.,,,NDKNZ,pJfIUj
