Date,Opponent,Time,Score,Record,Filler_1
11/20/2009,Quinnipiac University,7 p.m.,,,QZuNbB
11/21/2009,Princeton University,4 p.m.,,,LbDrbxZ
11/24/2009,Syracuse University,7 p.m.,,,dhxyBweE
11/27/2009,Mercyhurst College,7 p.m.,,,FgBpzGug
11/28/2009,Mercyhurst College,2 p.m.,,,yYHSZyjR
12/4/2009,Brown University,7 p.m.,,,XGhwmB
12/5/2009,Yale University,4 p.m.,,,MiUfoAJq
1/2/2010,Syracuse University,7 p.m.,,,iVRCSFAz
1/8/2010,Niagara University,7 p.m.,,,vcLsLzn
1/9/2010,Niagara University,4 p.m.,,,CwxdT
1/15/2010,Dartmouth College,7 p.m.,,,AtDkCxhO
