Year,City,"State, province, dept., etc.",Country,Notes
1682,Philadelphia,Pennsylvania,United States,
1682,Norfolk,Virginia,United States,
1682,São Borja,Rio Grande do Sul,Brazil,
1683,Dover,Delaware,United States,
1685,Escada,Pernambuco,Brazil,
1686,Trinidad,Beni Department,Bolivia,
1687,New Britain,Connecticut,United States,
1687,São Luiz Gonzaga,Rio Grande do Sul,Brazil,
1687,São Miguel das Missões,Rio Grande do Sul,Brazil,
1687,São Nicolau,Rio Grande do Sul,Brazil,
1689,Marigot,,Saint Martin,
1690,Port of Spain,Trinidad,Trinidad and Tobago,
1690,São Lourenço das Missões,Rio Grande do Sul,Brazil,
1692,Villanueva,Zacatecas,Mexico,
1693,Bom Jesus da Lapa,Bahia,Brazil,
1693,Burlington,New Jersey,United States,
1693,Curitiba,Paraná,Brazil,
1693,Kingston,St Andrew,Jamaica,
1695,Nassau,New Providence,Bahamas,
1695,Saint-Marc,Artibonite,Haiti,
1696,Assú,Rio Grande do Norte,Brazil,Declared vila in 1766; cidade in 1845.
1696,Rimouski,Quebec,Canada,
1698,Ambato,Tungurahua,Ecuador,
1698,Pensacola,Florida,United States,
1699,Biloxi,Mississippi,United States,
1699,Baton Rouge,Louisiana,United States,
1700,Barreiras,Bahia,Brazil,
1701,Detroit,Michigan,United States,
1701,São João del Rei,Minas Gerais,Brazil,
1702,Jesús María,Aguascalientes,Mexico,
1702,Mobile,Alabama,United States,
1703,Kaskaskia,Illinois,United States,
1705,Bath,North Carolina,United States,
1706,Albuquerque,New Mexico,United States,
1706,Santo Ângelo,Rio Grande do Sul,Brazil,
1709,Chihuahua,Chihuahua,Mexico,
1710,Chatham,New Jersey,United States,On land purchased in 1680.
1710,New Bern,North Carolina,United States,Birthplace of Pepsi
1711,Beaufort,South Carolina,United States,
1711,Ouro Preto,Minas Gerais,Brazil,
1714,Natchitoches,Louisiana,United States,Oldest settlement in the Louisiana Purchase
1714,Antonina,Paraná,Brazil,
1714,Laguna,Santa Catarina,Brazil,
1714,Serro,Minas Gerais,Brazil,
1715 (prior to),Kekionga,Indiana,United States,Capital of the Miami tribe.
1716,Natchez,Mississippi,United States,Dates to the founding of Fort Rosalie by the French.[14]
1717,Brejo do Cruz,Paraíba,Brazil,
1717,Zacatecas,Zacatecas,Mexico,
1717,Westborough,Massachusetts,United States,One Hundredth Town in Massachusetts
1718,New Orleans,Louisiana,United States,
1718,Rio de Contas,Bahia,Brazil,
1718,San Antonio,Texas,United States,
1718,Tiradentes,Minas Gerais,Brazil,
1719,Trenton,New Jersey,United States,
1721,Cortazar,Guanajuato,Mexico,
1722,Edenton,North Carolina,United States,
1723,Guaynabo,Puerto Rico,United States,Declared pueblo in 1723; municipio in 1768.
1724,Brattleboro,Vermont,United States,Grew out of Fort Dummer.
1725,Concord,New Hampshire,United States,
1726,Florianópolis,Santa Catarina,Brazil,
1726,Montevideo,Montevideo,Uruguay,
1727,Cuiabá,Mato Grosso,Brazil,
1727,Goiás,Goiás,Brazil,
1727,Pirenópolis,Goiás,Brazil,
1728,Fredericksburg,Virginia,United States,
1728,Inhambupe,Bahia,Brazil,
