Year,City,"State, province, dept., etc.",Country,Notes
1573,Santa Fé,Santa Fé,Argentina,
1574,Huaraz,Ancash,Peru,
1574,Tarija,Tarija Department,Bolivia,
1575,Aguascalientes,Aguascalientes,Mexico,
1576,León,Guanajuato,Mexico,
1577,Juayúa,Sonsonate,El Salvador,
1578,Fort-Liberté,Nord-Est,Haiti,Originally called Bayaha by the Spanish. Oldest continuously inhabited European established settlement in Haiti.
1578,Tegucigalpa,Francisco Morazán,Honduras,
1579,Coamo,Puerto Rico,United States,"Third oldest European settlement in Puerto Rico. In the same area where the Taínos had had their village of Guayama. Coamo became officially a town in 1616, and given the title of villa by Spanish Royal Decree in 1778."
1580,Buenos Aires,,Argentina,
1580,Santo Domingo Xenacoj,Sacatepéquez,Guatemala,
1582,Salta,Salta,Argentina,
1585,João Pessoa,Paraíba,Brazil,
1587,Concepción del Oro,Zacatecas,Mexico,
1588,Corrientes,Corrientes,Argentina,
1590,São Cristóvão,Sergipe,Brazil,First capital of Sergipe. Formerly known as Sergipe d'El Rei
1591,Jiménez del Teul,Zacatecas,Mexico,
1591,Juan Aldama,Zacatecas,Mexico,
1591,Paudalho,Pernambuco,Brazil,
1593,San Salvador de Jujuy,Jujuy,Argentina,
1594,Pinos,Zacatecas,Mexico,
1594,San Luis,San Luis,Argentina,
1596,Monterrey,Nuevo León,Mexico,
1596,Villahermosa,Tabasco,Mexico,Originally called Villa Felipe II.
1597,Portobelo,Colón,Panama,
1598,Parras,Coahuila,Mexico,
1599,Natal,Rio Grande do Norte,Brazil,
1599,Tadoussac,Quebec,Canada,"Oldest continuously inhabited French established settlement in the Americas, oldest European established settlement in Quebec."
1602,David,Chiriquí Province,Panama,
1603,Salamanca,Guanajuato,Mexico,
1604,Port Royal,Nova Scotia,Canada,Oldest continuously inhabited European established settlement in Nova Scotia.
1606,Bayaguana,Monte Plata,Dominican Republic,
1606,Ibarra,Imbabura,Ecuador,
1606,Oruro,Oruro,Bolivia,
1607,Jamestown,Virginia,United States,First permanent English established settlement in the Americas.
1608,Quebec City,Quebec,Canada,
1609,Fortaleza,Ceará,Brazil,
1610,Kecoughtan,Virginia,United States,
1610,León,León,Nicaragua,
1610,Santa Fe,New Mexico,United States,Oldest continuously inhabited state or territorial capital in the continental United States. [8]
1610,Harbour Grace,Newfoundland and Labrador,Canada,
1611,Marechal Deodoro,Alagoas,Brazil,
1612,São Luís,Maranhão,Brazil,Capital of Maranhão.
1612,St. George's,,Bermuda,Oldest continuously inhabited English established settlement in the Americas.
1613,Penedo,Alagoas,Brazil,
1613,Hopewell,Virginia,United States,Oldest continuously inhabited English settlement in North America. Founded in 1613 as Bermuda City by Thomas Dale.
1614,"Albany, New York",New York,United States,Oldest US settlement north of Virginia and second oldest state or territorial capital in the continental United States
1614,Sirinhaém,Pernambuco,Brazil,Declared vila in 1627; cidade in 1892.
1615,Cabo Frio,Rio de Janeiro,Brazil,
1615,Posadas,Misiones,Argentina,
1615,Taos,New Mexico,United States,
1616,Belém,Pará,Brazil,Capital of Pará.
1616,Medellín,Antioquia,Colombia,Founded by Francisco de Herrera y Campuzano
1616,Arecibo,Puerto Rico,United States,
1617,"Jersey City, New Jersey",New Jersey,United States,"Pavonia, New Netherland"
1618,Cabo de Santo Agostinho,Pernambuco,Brazil,Declared vila in 1811; cidade in 1877.
1620,Ojocaliente,Zacatecas,Mexico,
1620,Plymouth,Massachusetts,United States,
1623,Dover,New Hampshire,United States,
1623,Gloucester,Massachusetts,United States,
1624,Old Road,Saint Christopher,Saint Kitts and Nevis,"Oldest continuously inhabited British established settlement in the Caribbean, First successful 'non-Spanish' established settlement in the Caribbean."
1624,Villa Soriano,Soriano,Uruguay,Oldest continuously inhabited European established settlement in Uruguay.
1625,New Amsterdam,New York,United States,Now New York City.
1626,Salem,Massachusetts,United States,
1626,Vitória de Santo Antão,Pernambuco,Brazil,Declared vila in 1811; cidade in 1843.
1627,Basseterre,Saint Christopher,Saint Kitts and Nevis,Oldest continuously inhabited French established settlement in the Caribbean.
