Year,City,"State, province, dept., etc.",Country,Notes
1628,Bridgetown,Saint Michael,Barbados,Second oldest continuously inhabited English established settlement in the Caribbean.
1630,Boston,Massachusetts,United States,
1630,Paramaribo,Paramaribo,Suriname,Oldest continuously inhabited European established settlement in Suriname.
1630,Speightstown,Saint Peter,Barbados,
1631,Biddeford,Maine,United States,
1631,Hidalgo del Parral,Chihuahua,Mexico,
1631,Saint John,New Brunswick,Canada,
1632,Batopilas,Chihuahua,Mexico,
1632,Williamsburg,Virginia,United States,
1632,St. John's,Antigua,Antigua and Barbuda,
1634,Green Bay,Wisconsin,United States,Oldest continuously inhabited French established settlement in the United States.
1634,St. Mary's City,Maryland,United States,
1634,Trois-Rivières,Quebec,Canada,
1634,Willemstad,Curaçao,Netherlands,Oldest continuously inhabited Dutch established settlement in the Caribbean.
1635,Concord,Massachusetts,United States,
1635,Old Saybrook,Connecticut,United States,Original Dutch settlement called Kievits Hoek.
1636,Springfield,Massachusetts,United States,
1636,Providence,Rhode Island,United States,
1637,Hartford,Connecticut,United States,[9]
1638,Belize City,Belize,Belize,Oldest continuously inhabited European established settlement in Belize. Original Mayan city called Holzuz.
1638,Fort-de-France,,Martinique,Originally called Fort Saint Louis.
1638,New Haven,Connecticut,United States,[10]
1638,Wilmington,Delaware,United States,"Grew from Fort Christina, part of the New Sweden colony. Oldest continuously inhabited Swedish established settlement in the Americas."
1638,Cambridge,Massachusetts,United States,
1639,Rincón de Romos,Aguascalientes,Mexico,
1639 (prior to),St. Marks,Florida,United States,[11]
1639,Bridgeport,Connecticut,United States,
1639,Newport,Rhode Island,United States,
1642,Montreal,Quebec,Canada,
1642,Lexington,Massachusetts,United States,[12]
1642,Warwick,Rhode Island,United States,
1643,Basse-Terre,,Guadeloupe,Territorial capital.
1643,Dolores Hidalgo,Guanajuato,Mexico,
1644,Salvatierra,Guanajuato,Mexico,
1646,New London,Connecticut,United States,
1648,Alcântara,Maranhão,Brazil,
1648,Paranaguá,Paraná,Brazil,
1649,Annapolis,Maryland,United States,
1650,Castries,Castries,Saint Lucia,
1650,Saint George's,Saint George,Grenada,
1651,Norwalk,Connecticut,United States,
1654,Vieux Fort,Vieux Fort,Saint Lucia,
1659,Ciudad Juárez,Chihuahua,Mexico,
1659,El Paso,Texas,United States,
1660,Charlestown,Nevis,St Kitts & Nevis,
1660,Placentia,Newfoundland,Canada,"French Capital unil 1713, originally called Plaisance"
1660,Rye,New York,United States,
1664,Albany,New York,United States,
1664,Cayenne,,French Guiana,Oldest continuously inhabited European established settlement in French Guiana.
1665,Port-de-Paix,Nord-Ouest Department,Haiti,
1666,Codrington,Barbuda,Antigua and Barbuda,
1666,Newark,New Jersey,United States,
1667,Paraty,Rio de Janeiro,Brazil,
1668,Sault Ste. Marie,Michigan,United States,"[13], oldest city in Michigan."
1670,Boqueirão,Paraíba,Brazil,
1670,Cap-Haïtien,Nord,Haiti,"Originally called \Cap-Français\"""""
1670,Charleston,South Carolina,United States,
1672,"Charlotte Amalie, St. Thomas",U.S. Virgin Islands,United States,Oldest permanent European settlement in Saint Thomas island. Oldest continuously inhabited Danish established settlement in the Americas.
1673,Kingston,Ontario,Canada,Grew from Fort Frontenac.
1673,San José de Gracia,Aguascalientes,Mexico,
1673,Worcester,Massachusetts,United States,
1674,Cachoeira,Bahia,Brazil,
1674,Waterbury,Connecticut,United States,
1680,South Orange,New Jersey,United States,Grew from Newark (later Orange).
1680,Colonia del Sacramento,Colonia,Uruguay,
1681,Cockburn Town,,Turks and Caicos Islands,
