Year,City,"State, province, dept., etc.",Country,Notes,Unused_1
1813,Chisec,Alta Verapaz,Guatemala,,
1815,Areia,Paraíba,Brazil,,
1815,Hamilton,Ontario,Canada,,
1816,Alagoinhas,Bahia,Brazil,,
1816,Chattanooga,Tennessee,United States,Originally named Ross's Landing.,
1816,Saginaw,Michigan,United States,,
1816,Savaneta,Aruba,Netherlands,,
1817,Fort Smith,Arkansas,United States,,
1818,Itaguaí,Rio de Janeiro,Brazil,,
1819,Montgomery,Alabama,United States,Near the site of the earlier French Fort Toulouse.,
1819,Springfield,Illinois,United States,,
1819,Managua,Managua,Nicaragua,,
1819,Memphis,Tennessee,United States,Near the site of the earlier French Fort Prudhomme.,
1819,Palmeira,Paraná,Brazil,,
1819,Tuscaloosa,Alabama,United States,"Former state capital, grew from former Native American settlements beginning in 1580. [18]",
1820,Cotegipe,Bahia,Brazil,,
1821,Little Rock,Arkansas,United States,,
1821,Indianapolis,Indiana,United States,,
1821,Jefferson City,Missouri,United States,,
1821,Decatur,Alabama,United States,,
1822,Ponta Grossa,Paraná,Brazil,,
1822,Jackson,Mississippi,United States,,
1823,Tampa,Florida,United States,Grew from earlier military post Fort Brooke.,
1824,Vancouver,Washington,United States,,
1824,Tallahassee,Florida,United States,,
1825,Vicksburg,Mississippi,United States,,
1825,Grand Rapids,Michigan,United States,,
1825,Syracuse,New York,United States,incorporated as village; received city charter in 1847,
1826,Ipiranga,Paraná,Brazil,,
1826,London,Ontario,Canada,,
1827,Fort Leavenworth,Kansas,United States,,
1827,St. Andrews,Florida,United States,Now part of Panama City,
1831,Greenville,South Carolina,United States,,
1831,Piracanjuba,Goiás,Brazil,,
1832,Goianinha,Rio Grande do Norte,Brazil,,
1828,Key West,Florida,United States,,
1832,Touros,Rio Grande do Norte,Brazil,,
1833,Bananeiras,Paraíba,Brazil,,
1833,Juazeiro,Bahia,Brazil,,
1833,Kitchener,Ontario,Canada,Originally called Berlin.,
1833,Milwaukee,Wisconsin,United States,,
1833,Nazaré da Mata,Pernambuco,Brazil,Declared vila in 1833; cidade in 1850.,
1833,Rio Formoso,Pernambuco,Brazil,Declared vila in 1833; cidade in 1850.,
1833,Vassouras,Rio de Janeiro,Brazil,,
1835,Austin,Texas,United States,,
1835,Barra do Corda,Maranhão,Brazil,,
1835,Curupuru,Maranhão,Brazil,Declared vila in 1841; cidade in 1920.,
1836,Davenport,Iowa,United States,,
1836,Oshawa,Ontario,Canada,,
1836,Shreveport,Louisiana,United States,,
1836,Madison,Wisconsin,United States,,
1837,Glória do Goitá,Pernambuco,Brazil,Declared vila in 1877; cidade in 1884.,
1837,Lansing,Michigan,United States,,
1837,Houston,Texas,United States,,
1838,Divina Pastora,Sergipe,Brazil,,
1838,Kansas City,Missouri,United States,,
1838,St Paul,Minnesota,United States,,
1839,Santa Rita,Paraíba,Brazil,Declared vila in 1890; cidade in 1924.,
1840,Summerside,Prince Edward Island,Canada,,
1841,Cedar Rapids,Iowa,United States,,
1841,Dallas,Texas,United States,,
1842,Piatã,Bahia,Brazil,,
1842,Salem,Oregon,United States,,
1843,Atlanta,Georgia,United States,"Originally known as Marthasville, Georgia.",
1843,Des Moines,Iowa,United States,,
1843,Stanley,East Falkland,Falkland Islands,,
