Year,City,"State, province, dept., etc.",Country,Notes
1728,Nuuk,,Greenland,Norse colony was originally called Godthab. Oldest continuously inhabited European established settlement in Greenland.
1729,Baltimore,Maryland,United States,
1730,Roseau,Saint George,Dominica,
1732,Fredericton,New Brunswick,Canada,Originally called Ste. Anne's Point.
1732,Vincennes,Indiana,United States,
1733,Morretes,Paraná,Brazil,
1733,Pau dos Ferros,Rio Grande do Norte,Brazil,
1733,Richmond,Virginia,United States,[15]
1733,Savannah,Georgia,United States,
1736,Augusta,Georgia,United States,
1737,Rio Grande,Rio Grande do Sul,Brazil,
1738,Fort Rouge,Manitoba,Canada,"Now Winnipeg, Manitoba."
1738,San José,San José,Costa Rica,
1740,Santa Rosalía de Camargo,Chihuahua,Mexico,
1740,Portalegre,Rio Grande do Norte,Brazil,
1740,San Felipe de Puerto Plata,Puerto Plata,Dominican Republic,
1741,Viamão,Rio Grande do Sul,Brazil,
1743,Canguaretama,Rio Grande do Norte,Brazil,Declared vila in 1858; cidade in 1885.
1748,Caicó,Rio Grande do Norte,Brazil,Declared vila in 1788; cidade in 1868.
1749,Alexandria,Virginia,United States,
1749,San Ignacio de Velasco,Santa Cruz Department,Bolivia,
1749,Port-au-Prince,Ouest Department,Haiti,
1749,Halifax,Nova Scotia,Canada,
1749,Windsor,Ontario,Canada,Oldest continually-inhabited settlement in Canada west of Montreal
1752,Buíque,Pernambuco,Brazil,
1752,Patos,Paraíba,Brazil,Declared vila in 1832; cidade in 1903.
1752,Tubac,Arizona,United States,
1754,Augusta,Maine,United States,
1755,Charlotte,North Carolina,United States,
1756,Salto,Salto,Uruguay,
1756,Santa Bárbara de Samaná,Samaná,Dominican Republic,
1756,Yauco,Puerto Rico,United States,
1757,Estância,Sergipe,Brazil,
1758,Pittsburgh,Pennsylvania,United States,
1758,Macapá,Amapá,Brazil,
1760,Arês,Rio Grande do Norte,Brazil,
1760,Sabana de la Mar,Hato Mayor,Dominican Republic,
1761,Sacaba,Cochabamba Department,Bolivia,
1762,Kingstown,St Vincent,Saint Vincent & The Grenadines,
1762,Parnaíba,Piauí,Brazil,
1762,Shepherdstown,West Virginia,United States,Originally known as Mecklenburg.
1762,Allentown,Pennsylvania,United States,Incorporated as Northamptontown.
1762,Baía da Traição,Paraíba,Brazil,
1763,Burlington,Vermont,United States,
1763,Pánfilo Natera,Zacatecas,Mexico,
1763,Philipsburg,Sint Maarten,Netherlands,
1763,St. Louis,Missouri,United States,
1764,Charlottetown,Prince Edward Island,Canada,
1764,Pointe-à-Pitre,Grand Terre,Guadeloupe,
1765,Port Elizabeth,Grenadines,Saint Vincent & The Grenadines,
1765,Portsmouth,Saint John,Dominica,
1767,Ceará-Mirim,Rio Grande do Norte,Brazil,
1767,Araioses,Maranhão,Brazil,
1769,Elizabethton,Tennessee,United States,
1769,Falmouth,Trelawny,Jamaica,
1769,San Diego,California,United States,Grew from Presidio of San Diego
1769,Lapa,Paraná,Brazil,
1770,Monterey,California,United States,Grew from Presidio of Monterey. Original capital of California [16]
1770,Araxá,Minas Gerais,Brazil,
1771,Calvillo,Aguascalientes,Mexico,
1772,Porto Alegre,Rio Grande do Sul,Brazil,
1775,Tucson,Arizona,United States,
1774,Castro,Paraná,Brazil,
1775,Lexington,Kentucky,United States,
1775,Boonesborough,Kentucky,United States,"Grew from Fort Boonesborough, built by pioneer Daniel Boone.-"
1775,São Lourenço da Mata,Pernambuco,Brazil,District status in 1775; village status in 1884; municipality status in 1890
