Year,City,"State, province, dept., etc.",Country,Notes
1776,San Francisco,California,United States,
1777,San Jose,California,United States,"Originally known as El Pueblo de San José de Guadalupe, the first town in the Spanish colony of Nueva California, which later became Alta California."
1778,Corumbá,Mato Grosso do Sul,Brazil,
1778,Louisville,Kentucky,United States,"Grew from Fort Nelson, established by explorer George Rogers Clark."
1778,San Francisco de Macorís,Duarte,Dominican Republic,
1779,Jonesborough,Tennessee,United States,Later organized as the lost State of Franklin with Jonesborough as capital 1784.
1779,Nashville,Tennessee,United States,Grew from Fort Nashborough
1780,Codó,Maranhão,Brazil,Declared vila in 1833; cidade in 1896.
1780,Las Matas de Farfán,San Juan,Dominican Republic,
1781,Montpelier,Vermont,United States,
1781,Los Angeles,California,United States,
1782,Catu,Bahia,Brazil,
1782,Georgetown,Demerara-Mahaica,Guyana,Originally called La Nouvelle Ville.
1783,Vitória da Conquista,Bahia,Brazil,
1784,San Fernando,Trinidad,Trinidad and Tobago,
1785,Harrisburg,Pennsylvania,United States,
1785,North Battleford,Saskatchewan,Canada,1785 fur trading post. 1877 Battleford is capital of the North West Territories. North Battleford incorporated as a city (population 5000+) 1913.
1785,Asheville,North Carolina,United States,
1785,Gustavia,,Saint Barthélemy,
1785,Huntington,West Virginia,United States,
1785,Sydney,Nova Scotia,Canada,
1786,Columbia,South Carolina,United States,
1786,Escada,Pernambuco,Brazil,Declared vila in 1854; cidade in 1873.
1786,Florissant,Missouri,United States,Originally known as St. Ferdinand.
1786,Frankfort,Kentucky,United States,
1786,Portland,Maine,United States,
1787,Boa Ventura,Paraíba,Brazil,
1788,Marietta,Ohio,United States,
1788,Cincinnati,Ohio,United States,
1788,Charleston,West Virginia,United States,Grew from Fort Lee. [17]
1788,Mercedes,Soriano,Uruguay,
1789,Buffalo,New York,United States,
1789,Itambé,Pernambuco,Brazil,Declared vila in 1867; cidade in 1879.
1790,Hamilton,,Bermuda,
1790,Washington,District of Columbia,United States,
1791,Jacksonville,Florida,United States,"Known as \Cowford\""."""
1791,Knoxville,Tennessee,United States,
1791,Bangor,Maine,United States,
1792,Raleigh,North Carolina,United States,
1793,Sherbrooke,Quebec,Canada,
1793,Toronto,Ontario,Canada,
1794,Fort Wayne,Indiana,United States,
1795,Edmonton,Alberta,Canada,Grew from Fort Edmonton.
1795,Erie,Pennsylvania,United States,Grew from the French Fort Presque Isle.
1795,Maryville,Tennessee,United States,Grew from the American Fort Craig.
1796,Cleveland,Ohio,United States,
1796,Oranjestad,Aruba,Netherlands,
1797,Chaguanas,Trinidad,Trinidad and Tobago,
1797,Franklinton,Ohio,United States,"Eventually absorbed by Columbus, Ohio."
1799,Araruama,Rio de Janeiro,Brazil,
1800,Hull,Quebec,Canada,Formerly known as Wrightville.
1802,Chapadinha,Maranhão,Brazil,
1802,Santa Cruz de Barahona,Barahona,Dominican Republic,
1803,Chicago,Illinois,United States,Grew from Fort Dearborn.
1805,Huntsville,Alabama,United States,
1807,Hot Springs,Arkansas,United States,
1809,Água Preta,Pernambuco,Brazil,Declared vila in 1846; cidade in 1895.
1810,Guarapuava,Paraná,Brazil,
1810,Manchester,New Hampshire,United States,
1810,Pilão Arcado,Bahia,Brazil,
1810,San Bernardino,California,United States,
1811,Garanhuns,Pernambuco,Brazil,
1811,Astoria,Oregon,United States,
1812,Columbus,Ohio,United States,
1812,Pelotas,Rio Grande do Sul,Brazil,Declared vila in 1832; cidade in 1835.
1813,Capela,Sergipe,Brazil,
