Year,City,"State, province, dept., etc.",Country,Notes,Irrelevant_1
1843,Uruguaiana,Rio Grande do Sul,Brazil,Declared vila in 1846; cidade in 1874.,RiDgc
1843,Victoria,British Columbia,Canada,,GVvd64
1844,Lençóis,Bahia,Brazil,,EHkolot
1845,Araruna,Paraíba,Brazil,,Ln539tQ
1845,Portland,Oregon,United States,,zi3LVd8k
1847,Alagoa Grande,Paraíba,Brazil,Declared vila in 1865; cidade in 1908.,1A7uz7
1847,Salt Lake City,Utah,United States,Originally known as Great Salt Lake City.,HXQFm
1848,Caruaru,Pernambuco,Brazil,"First municipality in the [Agreste] region of Pernambuco state, Brazil.",MYY3K
1848,Rio Verde,Goiás,Brazil,,3PjhjhL
1848,Sacramento,California,United States,,kRJuyH
1849,Provo,Utah,United States,,vrWXKYm
1850,Bytown,Ontario,Canada,"Now Ottawa, Ontario.",rltEzJDI
1851,San Luis,Colorado,United States,,7gyJfx
1851,Seattle,Washington,United States,,uTHivFq
1852,Mossoró,Rio Grande do Norte,Brazil,,HDzVeC
1852,São José dos Pinhais,Paraná,Brazil,,ZTKKjeIg
1853,Olympia,Washington,United States,,jlG7sIR
1854,Omaha,Nebraska,United States,,bg5rnann
1854,Anajatuba,Maranhão,Brazil,,jVS8Q
1854,Topeka,Kansas,United States,,1YlDf
1855,Aracaju,Sergipe,Brazil,,4IKGH
1856,Lincoln,Nebraska,United States,Originally called Lancaster.,XlEFJW
1856,O'Fallon,Missouri,United States,,zR4Pl
1856,Sioux Falls,South Dakota,United States,,lto1MMP
1857,Boquim,Sergipe,Brazil,,2lD8246
1858,Carson City,Nevada,United States,,KddIm
1858,Denver,Colorado,United States,,9kPswh3
1859,Yankton,South Dakota,United States,,zYZGfmaV
1860,Chico,California,United States,,41Zr9
1863,Boise,Idaho,United States,,h8D00U
1863,Wichita,Kansas,United States,,t7G0Gcst
1864,Casper,Wyoming,United States,Originally called Platte Bridge Station.,motRu
1864,Helena,Montana,United States,,3GMs7UD
1864,Salinas,California,United States.,[19],E2PS5DLL
1866,Prince Albert,Saskatchewan,Canada,"Settled by Rev. James Nisbet. Incorporated as city (population 5000+) October 8, 1904",gsKIB
1867,Cheyenne,Wyoming,United States,,ogSHBXnA
1867,Gameleira,Pernambuco,Brazil,,U8ojfpv
1867,Minneapolis,Minnesota,United States,,8056x
1868,Colinas,Maranhão,Brazil,Declared vila in 1870; cidade in 1891.,TLYMnHL
1868,Phoenix,Arizona,United States,,0qAowS
1870,Afogados da Ingazeira,Pernambuco,Brazil,,U4y5g
1870,Campo Largo,Paraná,Brazil,,cFbXkWs
1870,Puerto Limon,Limon,Costa Rica,,2LFRR
1871,Águas Belas,Pernambuco,Brazil,,iMLUTl
1871,Alto Parnaíba,Maranhão,Brazil,,2sF95
1871,Birmingham,Alabama,United States,,Wp0EI
1871,Colorado Springs,Colorado,United States,,RnTjSS
1871,Fargo,North Dakota,United States,,QRcUH
1871,Imbituva,Paraná,Brazil,,D7Ckb9
1871,São João do Triunfo,Paraná,Brazil,,iDYsz8a
1872,Anniston,Alabama,United States,,v4ADV
1872,Bismarck,North Dakota,United States,,4U6mgZ7o
1872,Tibagi,Paraná,Brazil,,CwCdBH
1873,Jaboatão dos Guararapes,Pernambuco,Brazil,First settlement in 1593; village status in 1873; city status in 1884,P8Shr0g
1873,Timbaúba,Pernambuco,Brazil,Declared vila in 1879; cidade in 1884.,OLYap6GD
1875,Orlando,Florida,United States,,elVpXI
1875,Calgary,Alberta,Canada,Grew from Fort Calgary,AKkDy3aV
1875,Humboldt,Saskatchewan,Canada,"Incorporated as a city (population 5000+) November 7, 2000",bDSvFx
1876,Boa Vista,Paraíba,Brazil,,hl6YxY
1876,Cajapió,Maranhão,Brazil,,Rt0Q2Z3
1876,Rapid City,South Dakota,United States,,rkFRGqs
1877,Billings,Montana,United States,,nNG5XoV
1877,Jaquimeyes,Barahona,Dominican Republic,,oX4yXZ
1878,Coeur d'Alene,Idaho,United States,,udmJWdyA
1878,Colombo,Paraná,Brazil,,7Z9iRxE2
1879,Vicência,Pernambuco,Brazil,Declared vila in 1891; cidade in 1928.,sj5K1vDG
